variant,scale,seed,val_track_rmse,val_L_data,val_R_adv,val_R_diff,val_R_mass,val_R_wp,val_R_cont,val_R_nrg,n_epochs_logged
no_physics,0.0,42,0.0193201431538909,0.8433009497821331,4.725057262551976e-05,0.0145669679817122,5.9690583005552376e-05,0.0002316232367813,0.0043994327473531,0.0074758878330006,5
physics,0.1,42,0.0189360847386221,0.9232243771354356,4.716850834067069e-05,0.0085365041292485,5.592955998660424e-05,0.0001976782129797,0.0038718387125603,0.0074478605653591,5
physics,0.3,42,0.021076665938987,1.0734355834623177,4.706394850965504e-05,0.0041840520158681,4.988759201296489e-05,0.0001703487411646,0.0040804513167434,0.0073996522539043,5
physics,1.0,42,0.0220052390165316,1.4536883160471916,4.681323332533793e-05,0.0032133159074874,4.1192644478845374e-05,0.0001133889942555,0.0036446678132051,0.0073711730168118,5
physics,3.0,42,0.0264176740505111,3.465053657690684,4.645841173100962e-05,0.0033877275163831,3.617562447288947e-05,8.739311700386072e-05,0.0026641643829255,0.0072492199680406,5
