epoch,total,L_data,L_phys,R_adv,R_diff,R_mass,R_wp,R_cont,R_nrg,lr
1,38.02881996985525,37.42199124892553,0.0,6.917696829115509e-05,0.015480130743526388,8.03676448792127e-05,0.000794406747255986,0.00022074069094439133,0.012738893725327216,0.0004
2,31.001834082029138,30.714354435602825,0.0,6.911384466927e-05,0.01672910828347085,8.185074113953306e-05,0.0006955121674536713,0.0005504192625570189,0.012720449343760265,0.0006
3,21.113671208867647,21.070111513137817,0.0,6.915869763683229e-05,0.01609989428834524,0.00011111526767611697,0.0006222254137355776,0.0011145925551924545,0.01277494516277026,0.0008
4,11.120984404924457,11.117709644138813,0.0,6.959604889307987e-05,0.016224006714764982,0.0001262658094371242,0.0005310719315806031,0.0021682313636119943,0.012943429443112109,0.001
5,4.482178802473754,4.479952945063512,0.0,7.033370723282435e-05,0.019570534580755822,8.292510184067699e-05,0.00040981638159109934,0.003965053156813762,0.013184581228415482,0.001
6,1.975167314926087,1.9736580892155569,0.0,7.072975174082785e-05,0.019141634678817354,6.70936425990476e-05,0.0003930434826694788,0.004810552054550499,0.013369302728885183,0.0009891830623632338
7,1.3657677329471578,1.3646147524317105,0.0,7.097050731393513e-05,0.019037585693392128,6.322067478474007e-05,0.0004324110693498066,0.005142353467817884,0.013441320237613278,0.0009572050015330874
8,1.0811786815102096,1.0802395281692345,0.0,7.102585805303836e-05,0.018973815623515595,6.145854570149822e-05,0.0004348206379631847,0.0052786899856679765,0.013471325418625687,0.000905463412215599
9,0.9872019510283584,0.9863873065138856,0.0,7.103693629536186e-05,0.01910418157179568,6.0742368987121154e-05,0.00042972985859061435,0.005319881151081063,0.013497639620557797,0.0008362196501476348
10,0.8548444199889976,0.8541485207776228,0.0,7.10577795075551e-05,0.01918109873076901,5.9801629163303005e-05,0.00044451487895950476,0.005355582349390413,0.013503262480905201,0.0007524999999999999
11,0.7680233943613833,0.7674220654492577,0.0,7.106847634001194e-05,0.019224111424894847,6.10000902459736e-05,0.0004231948451736874,0.0054024276954199495,0.013515777247448568,0.000657963412215599
12,0.6975294018811837,0.6969674338276187,0.0,7.107791636447776e-05,0.01922929174179444,6.153729024542069e-05,0.0004361727525103258,0.005407881357920512,0.013522925455011622,0.0005567415893174885
13,0.6279968743070489,0.6274644543106357,0.0,7.108567805858002e-05,0.01927730443518764,6.180893871032822e-05,0.0004382310637538467,0.005416021990337565,0.013529092251095184,0.0004532584106825116
14,0.5781444088734892,0.577639503714939,0.0,7.108747977232117e-05,0.019260213899542578,6.278967282469239e-05,0.00043627688514410085,0.0054320318304235116,0.013529960023030677,0.0003520365877844011
15,0.5311470682397896,0.5306741467987498,0.0,7.109754629179103e-05,0.019290383002953604,6.407131731596867e-05,0.0004438438586854924,0.005441425656802797,0.013525944198894043,0.00025750000000000013
16,0.4954146909754324,0.4949323705707987,0.0,7.109257818645649e-05,0.019289233244004816,6.458145369000097e-05,0.0004412234504798107,0.0054424157497123815,0.013533661651914978,0.00017378034985236535
17,0.46481938570949904,0.4643405781437953,0.0,7.110136617901237e-05,0.019371328455842256,6.511056326038063e-05,0.00044034558442263005,0.005460775343332595,0.013531346815094972,0.00010453658778440106
18,0.4452379089699055,0.44477843306958675,0.0,7.110125852231401e-05,0.01932801492512226,6.557825223770426e-05,0.0004411033411126179,0.0054605427115651155,0.013536720740072875,5.279499846691252e-05
19,0.4302069194828088,0.4297327152453363,0.0,7.109808051571538e-05,0.019350550913562376,6.586832679052652e-05,0.00044100748595117995,0.005461755955669408,0.013536462106761368,2.081693763676618e-05
20,0.4219461556295414,0.42149649824326235,0.0,7.109550922734797e-05,0.01934815795781712,6.597287080959784e-05,0.0004395668058047401,0.005465696634928463,0.013537738596672474,1e-05
