variant,track_error,track_error_units,intensity_error,intensity_error_units,calibration,calibration_units,computational_cost_s,source_files,status,notes
foundation_full,534.4378,mean_km_6_48h_foundation_val,22.296,future_vmax_mae_kt,0.4164,mean_abs_p90_coverage_error_6_48h,16.75,checkpoints/foundation/foundation_best.pt; regenerated in scripts/run_ablations.py,rerun,Same validation split for pretrained and random foundation models; validation windows=238; group overlap=0.
no_ssl_random_init,545.6074,mean_km_6_48h_foundation_val,40.2093,future_vmax_mae_kt,0.5145,mean_abs_p90_coverage_error_6_48h,9.64,checkpoints/foundation/foundation_best.pt; regenerated in scripts/run_ablations.py,rerun,Same validation split for pretrained and random foundation models; validation windows=238; group overlap=0.
