marker,cyclone_id,forecast_time,horizon_h,member_count,domain_cell_count,realized_event_cell_count,estimator,brier_score
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 12:00:00,6,49,150,1,Ensemble probability-weighted,0.0021907538525614326
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 18:00:00,6,46,159,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 18:00:00,6,46,159,0,P90 envelope,0.0440251572327044
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 18:00:00,6,46,159,0,Ensemble probability-weighted,0.00013375182794164852
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 00:00:00,6,31,159,1,Deterministic mean-track,0.006289308176100629
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 00:00:00,6,31,159,1,P90 envelope,0.0440251572327044
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 00:00:00,6,31,159,1,Ensemble probability-weighted,0.003193738178914784
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 06:00:00,6,24,159,1,Deterministic mean-track,0.006289308176100629
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 06:00:00,6,24,159,1,P90 envelope,0.025157232704402517
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 06:00:00,6,24,159,1,Ensemble probability-weighted,0.0040400069881201955
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 12:00:00,6,9,159,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 12:00:00,6,9,159,0,P90 envelope,0.025157232704402517
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 12:00:00,6,9,159,0,Ensemble probability-weighted,0.00038822889975929806
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 18:00:00,6,8,159,0,Deterministic mean-track,0.006289308176100629
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 18:00:00,6,8,159,0,P90 envelope,0.0440251572327044
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 18:00:00,6,8,159,0,Ensemble probability-weighted,9.827044025157233e-05
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 00:00:00,6,1,159,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 00:00:00,6,1,159,0,P90 envelope,0.006289308176100629
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 00:00:00,6,1,159,0,Ensemble probability-weighted,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 06:00:00,6,2,159,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 06:00:00,6,2,159,0,P90 envelope,0.018867924528301886
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 06:00:00,6,2,159,0,Ensemble probability-weighted,0.0015723270440251573
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 12:00:00,6,11,150,1,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 12:00:00,6,11,150,1,P90 envelope,0.02
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 12:00:00,6,11,150,1,Ensemble probability-weighted,0.001983471074380165
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DUDZAI,2026-01-15 06:00:00,6,51,54,1,Deterministic mean-track,0.018518518518518517
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DUDZAI,2026-01-15 06:00:00,6,51,54,1,P90 envelope,0.07407407407407407
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DUDZAI,2026-01-15 06:00:00,6,51,54,1,Ensemble probability-weighted,0.013356686174833042
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-18 18:00:00,6,51,135,0,Deterministic mean-track,0.007407407407407408
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-18 18:00:00,6,51,135,0,P90 envelope,0.06666666666666667
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-18 18:00:00,6,51,135,0,Ensemble probability-weighted,0.0004300340324946246
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 00:00:00,6,51,125,1,Deterministic mean-track,0.008
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 00:00:00,6,51,125,1,P90 envelope,0.04
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 00:00:00,6,51,125,1,Ensemble probability-weighted,0.006339100346020761
