marker,cyclone_id,forecast_time,horizon_h,estimator,realized_positive_regions,predicted_positive_regions,nonzero_union_regions,ndcg_at_10,ndcg_at_5,recall_at_10,recall_at_5,recall_at_10_overlap,recall_at_10_target,recall_at_5_overlap,recall_at_5_target,spearman
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 00:00:00,24,Deterministic mean-track,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 00:00:00,24,P90 envelope,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 00:00:00,24,Ensemble probability-weighted,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 06:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 06:00:00,24,P90 envelope,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 06:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 12:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 12:00:00,24,P90 envelope,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 12:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 18:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 18:00:00,24,P90 envelope,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 18:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 00:00:00,24,Deterministic mean-track,1,0,1,0.0,0.0,0.0,0.0,0,1,0,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 00:00:00,24,P90 envelope,1,2,2,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 00:00:00,24,Ensemble probability-weighted,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 06:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 06:00:00,24,P90 envelope,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 06:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 12:00:00,24,Deterministic mean-track,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 12:00:00,24,P90 envelope,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 12:00:00,24,Ensemble probability-weighted,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 18:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 18:00:00,24,P90 envelope,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 18:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 00:00:00,24,Deterministic mean-track,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 00:00:00,24,P90 envelope,1,2,2,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 00:00:00,24,Ensemble probability-weighted,1,2,2,1.0,1.0,1.0,1.0,1,1,1,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 06:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 06:00:00,24,P90 envelope,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 06:00:00,24,Ensemble probability-weighted,0,2,2,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-05 18:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-05 18:00:00,24,P90 envelope,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-05 18:00:00,24,Ensemble probability-weighted,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 00:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 00:00:00,24,P90 envelope,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 00:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 06:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 06:00:00,24,P90 envelope,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 06:00:00,24,Ensemble probability-weighted,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 12:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 12:00:00,24,P90 envelope,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 12:00:00,24,Ensemble probability-weighted,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 18:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 18:00:00,24,P90 envelope,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-06 18:00:00,24,Ensemble probability-weighted,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 00:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 00:00:00,24,P90 envelope,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 00:00:00,24,Ensemble probability-weighted,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 06:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 06:00:00,24,P90 envelope,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 06:00:00,24,Ensemble probability-weighted,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 12:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 12:00:00,24,P90 envelope,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 12:00:00,24,Ensemble probability-weighted,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 18:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 18:00:00,24,P90 envelope,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-07 18:00:00,24,Ensemble probability-weighted,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 00:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 00:00:00,24,P90 envelope,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 00:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 06:00:00,24,Deterministic mean-track,0,0,0,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 06:00:00,24,P90 envelope,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 06:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 12:00:00,24,Deterministic mean-track,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 12:00:00,24,P90 envelope,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 12:00:00,24,Ensemble probability-weighted,0,1,1,,,,,0,0,0,0,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 18:00:00,24,Deterministic mean-track,1,0,1,0.0,0.0,0.0,0.0,0,1,0,1,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FUNG-WONG,2025-11-08 18:00:00,24,P90 envelope,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,
