lat,lon,population,inform_risk,region_id,region_name,country_income_group,country_income_group_label,rq2_exposure_active_cell,population_source,vulnerability_source,admin_source,infrastructure_source
-30.75,44.25,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-30.75,45.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-30.0,39.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-30.0,42.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-30.0,42.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-30.0,44.25,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-30.0,45.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-30.0,47.25,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,37.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,39.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,40.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,41.25,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,42.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,42.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,43.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,44.25,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,45.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-29.25,49.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,36.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,37.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,38.25,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,39.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,39.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,40.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,42.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,42.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,43.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,44.25,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,45.0,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,45.75,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
-28.5,46.5,0.0,0.5,UNASSIGNED,Unassigned/ocean,NA,Not classified,True,WorldPop Total Population 1km ArcGIS ImageServer,World Bank country income classification mapped to vulnerability weights,Natural Earth country boundaries via datasets/geo-countries,not used for RQ2 exposure rerun
