marker,cyclone_id,forecast_time,horizon_h,member_count,estimator,predicted_vw_exposure,realized_vw_exposure,absolute_error
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 06:00:00,24,48,Deterministic mean-track,134074.00776922,329342.8424064365,195268.8346372165
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 06:00:00,24,48,P90 envelope,1315542.333345099,329342.8424064365,986199.4909386623
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 06:00:00,24,48,Ensemble probability-weighted,52945.083596881515,329342.8424064365,276397.758809555
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 12:00:00,24,49,Deterministic mean-track,0.0,329342.8424064365,329342.8424064365
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 12:00:00,24,49,P90 envelope,1253396.675338707,329342.8424064365,924053.8329322704
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 12:00:00,24,49,Ensemble probability-weighted,114883.97498637394,329342.8424064365,214458.86742006257
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 18:00:00,24,42,Deterministic mean-track,329342.8424064365,0.0,329342.8424064365
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 18:00:00,24,42,P90 envelope,1352258.1282790455,0.0,1352258.1282790455
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 18:00:00,24,42,Ensemble probability-weighted,61929.22541236491,0.0,61929.22541236491
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 00:00:00,24,24,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 00:00:00,24,24,P90 envelope,1081987.1778175985,0.0,1081987.1778175985
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 00:00:00,24,24,Ensemble probability-weighted,71688.53508856246,0.0,71688.53508856246
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 06:00:00,24,11,Deterministic mean-track,329342.8424064365,0.0,329342.8424064365
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 06:00:00,24,11,P90 envelope,1222931.7310717108,0.0,1222931.7310717108
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 06:00:00,24,11,Ensemble probability-weighted,49064.69497081658,0.0,49064.69497081658
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 12:00:00,24,13,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 12:00:00,24,13,P90 envelope,830438.0393153373,0.0,830438.0393153373
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 12:00:00,24,13,Ensemble probability-weighted,97844.71265905,0.0,97844.71265905
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 18:00:00,24,8,Deterministic mean-track,0.0,147912.71822926152,147912.71822926152
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 18:00:00,24,8,P90 envelope,1146058.0502630097,147912.71822926152,998145.3320337483
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 18:00:00,24,8,Ensemble probability-weighted,24575.000446509075,147912.71822926152,123337.71778275244
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DUDZAI,2026-01-15 06:00:00,24,51,Deterministic mean-track,10401.027650257944,0.0,10401.027650257944
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DUDZAI,2026-01-15 06:00:00,24,51,P90 envelope,67316.05619881955,0.0,67316.05619881955
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DUDZAI,2026-01-15 06:00:00,24,51,Ensemble probability-weighted,1755.906574275345,0.0,1755.906574275345
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-18 18:00:00,24,51,Deterministic mean-track,347071.22383291513,0.0,347071.22383291513
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-18 18:00:00,24,51,P90 envelope,1578253.5034689303,0.0,1578253.5034689303
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-18 18:00:00,24,51,Ensemble probability-weighted,40713.682424114515,0.0,40713.682424114515
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 00:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 00:00:00,24,51,P90 envelope,1270761.8658224468,0.0,1270761.8658224468
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 00:00:00,24,51,Ensemble probability-weighted,63346.17400435708,0.0,63346.17400435708
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 06:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 06:00:00,24,51,P90 envelope,1576283.6724075782,0.0,1576283.6724075782
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 06:00:00,24,51,Ensemble probability-weighted,33003.202201039814,0.0,33003.202201039814
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 12:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 12:00:00,24,51,P90 envelope,1301524.3721535217,0.0,1301524.3721535217
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 12:00:00,24,51,Ensemble probability-weighted,50395.47854332642,0.0,50395.47854332642
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 18:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
