cyclone_id,forecast_time,horizon_h,member_count,mean_track_error_km,representation,nominal_level,covered,area_km2
DITWAH,2025-11-30 00:00:00,6,51,35.64891107882229,Fixed-radius region,,0,1963.4928890086885
DITWAH,2025-11-30 00:00:00,6,51,35.64891107882229,P50 percentile cone,0.5,1,10451.90813171741
DITWAH,2025-11-30 00:00:00,6,51,35.64891107882229,P50 covariance ellipse,0.5,1,3995.294186278054
DITWAH,2025-11-30 00:00:00,6,51,35.64891107882229,P90 percentile cone,0.9,1,27065.81859596979
DITWAH,2025-11-30 00:00:00,6,51,35.64891107882229,P90 covariance ellipse,0.9,1,13272.080004737209
DITWAH,2025-11-30 06:00:00,6,51,30.54327517608389,Fixed-radius region,,0,1963.4928890086885
DITWAH,2025-11-30 06:00:00,6,51,30.54327517608389,P50 percentile cone,0.5,1,10805.069818679589
DITWAH,2025-11-30 06:00:00,6,51,30.54327517608389,P50 covariance ellipse,0.5,1,4737.291833318211
DITWAH,2025-11-30 06:00:00,6,51,30.54327517608389,P90 percentile cone,0.9,1,31360.872680914705
DITWAH,2025-11-30 06:00:00,6,51,30.54327517608389,P90 covariance ellipse,0.9,1,15736.94283478022
DITWAH,2025-11-30 12:00:00,6,49,3.8756783944235194,Fixed-radius region,,1,1963.4928890086885
DITWAH,2025-11-30 12:00:00,6,49,3.8756783944235194,P50 percentile cone,0.5,1,8015.823932728356
DITWAH,2025-11-30 12:00:00,6,49,3.8756783944235194,P50 covariance ellipse,0.5,1,3205.483702602022
DITWAH,2025-11-30 12:00:00,6,49,3.8756783944235194,P90 percentile cone,0.9,1,25134.932179759227
DITWAH,2025-11-30 12:00:00,6,49,3.8756783944235194,P90 covariance ellipse,0.9,1,10648.386369377222
DITWAH,2025-11-30 18:00:00,6,46,23.234234585202213,Fixed-radius region,,1,1963.4928890086885
DITWAH,2025-11-30 18:00:00,6,46,23.234234585202213,P50 percentile cone,0.5,1,8752.84554102019
DITWAH,2025-11-30 18:00:00,6,46,23.234234585202213,P50 covariance ellipse,0.5,1,3855.3146491339166
DITWAH,2025-11-30 18:00:00,6,46,23.234234585202213,P90 percentile cone,0.9,1,25721.788792456555
DITWAH,2025-11-30 18:00:00,6,46,23.234234585202213,P90 covariance ellipse,0.9,1,12807.07804758877
DITWAH,2025-12-01 00:00:00,6,31,29.074577160210506,Fixed-radius region,,0,1963.4928890086885
DITWAH,2025-12-01 00:00:00,6,31,29.074577160210506,P50 percentile cone,0.5,1,6573.2421438284855
DITWAH,2025-12-01 00:00:00,6,31,29.074577160210506,P50 covariance ellipse,0.5,0,3673.144669443426
DITWAH,2025-12-01 00:00:00,6,31,29.074577160210506,P90 percentile cone,0.9,1,32124.870905166783
DITWAH,2025-12-01 00:00:00,6,31,29.074577160210506,P90 covariance ellipse,0.9,1,12201.922474009869
DITWAH,2025-12-01 06:00:00,6,24,44.75997419042526,Fixed-radius region,,0,1963.4928890086885
DITWAH,2025-12-01 06:00:00,6,24,44.75997419042526,P50 percentile cone,0.5,1,9544.870161809566
DITWAH,2025-12-01 06:00:00,6,24,44.75997419042526,P50 covariance ellipse,0.5,0,2603.5987261678406
DITWAH,2025-12-01 06:00:00,6,24,44.75997419042526,P90 percentile cone,0.9,1,18705.307336494803
DITWAH,2025-12-01 06:00:00,6,24,44.75997419042526,P90 covariance ellipse,0.9,1,8648.967756269898
DITWAH,2025-12-01 12:00:00,6,9,60.44728094551612,Fixed-radius region,,0,1963.4928890086885
DITWAH,2025-12-01 12:00:00,6,9,60.44728094551612,P50 percentile cone,0.5,0,10211.286594267252
DITWAH,2025-12-01 12:00:00,6,9,60.44728094551612,P50 covariance ellipse,0.5,0,2815.224365649227
DITWAH,2025-12-01 12:00:00,6,9,60.44728094551612,P90 percentile cone,0.9,1,15717.157824029935
DITWAH,2025-12-01 12:00:00,6,9,60.44728094551612,P90 covariance ellipse,0.9,0,9351.972913661617
DITWAH,2025-12-01 18:00:00,6,8,33.00236286724208,Fixed-radius region,,0,1963.4928890086885
DITWAH,2025-12-01 18:00:00,6,8,33.00236286724208,P50 percentile cone,0.5,1,16825.059583706698
DITWAH,2025-12-01 18:00:00,6,8,33.00236286724208,P50 covariance ellipse,0.5,1,5123.915211513337
DITWAH,2025-12-01 18:00:00,6,8,33.00236286724208,P90 percentile cone,0.9,1,32579.4992382648
DITWAH,2025-12-01 18:00:00,6,8,33.00236286724208,P90 covariance ellipse,0.9,1,17021.277896946875
DITWAH,2025-12-02 00:00:00,6,1,21.72019996054758,Fixed-radius region,,1,1963.4928890086885
DITWAH,2025-12-02 00:00:00,6,1,21.72019996054758,P50 percentile cone,0.5,1,1963.4928890086885
DITWAH,2025-12-02 00:00:00,6,1,21.72019996054758,P90 percentile cone,0.9,1,1963.4928890086885
DITWAH,2025-12-02 06:00:00,6,2,24.752651821213313,Fixed-radius region,,1,1963.4928890086885
DITWAH,2025-12-02 06:00:00,6,2,24.752651821213313,P50 percentile cone,0.5,1,13199.66398583456
DITWAH,2025-12-02 06:00:00,6,2,24.752651821213313,P90 percentile cone,0.9,1,13201.835485129322
DITWAH,2025-12-02 12:00:00,6,11,9.568936342313364,Fixed-radius region,,1,1963.4928890086885
DITWAH,2025-12-02 12:00:00,6,11,9.568936342313364,P50 percentile cone,0.5,1,6610.040596293109
DITWAH,2025-12-02 12:00:00,6,11,9.568936342313364,P50 covariance ellipse,0.5,1,1696.5002121634805
DITWAH,2025-12-02 12:00:00,6,11,9.568936342313364,P90 percentile cone,0.9,1,12466.698822084158
DITWAH,2025-12-02 12:00:00,6,11,9.568936342313364,P90 covariance ellipse,0.9,1,5635.651717768235
DUDZAI,2026-01-15 06:00:00,6,51,33.150318033131725,Fixed-radius region,,0,1963.4928890086885
DUDZAI,2026-01-15 06:00:00,6,51,33.150318033131725,P50 percentile cone,0.5,1,10074.883822826518
DUDZAI,2026-01-15 06:00:00,6,51,33.150318033131725,P50 covariance ellipse,0.5,1,4074.7935793946626
DUDZAI,2026-01-15 06:00:00,6,51,33.150318033131725,P90 percentile cone,0.9,1,30606.425454980585
DUDZAI,2026-01-15 06:00:00,6,51,33.150318033131725,P90 covariance ellipse,0.9,1,13536.171272257765
FINA,2025-11-18 18:00:00,6,51,58.21749205603768,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-18 18:00:00,6,51,58.21749205603768,P50 percentile cone,0.5,1,18181.973651588025
FINA,2025-11-18 18:00:00,6,51,58.21749205603768,P50 covariance ellipse,0.5,0,6043.2823419325005
FINA,2025-11-18 18:00:00,6,51,58.21749205603768,P90 percentile cone,0.9,1,32260.023489014537
FINA,2025-11-18 18:00:00,6,51,58.21749205603768,P90 covariance ellipse,0.9,1,20075.349397002265
FINA,2025-11-19 00:00:00,6,51,44.44024738402551,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-19 00:00:00,6,51,44.44024738402551,P50 percentile cone,0.5,1,13048.410948935081
FINA,2025-11-19 00:00:00,6,51,44.44024738402551,P50 covariance ellipse,0.5,0,3397.6774216430904
FINA,2025-11-19 00:00:00,6,51,44.44024738402551,P90 percentile cone,0.9,1,24940.622433418972
FINA,2025-11-19 00:00:00,6,51,44.44024738402551,P90 covariance ellipse,0.9,1,11286.840084320635
FINA,2025-11-19 06:00:00,6,51,9.522474455578125,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-19 06:00:00,6,51,9.522474455578125,P50 percentile cone,0.5,1,14768.51232250098
FINA,2025-11-19 06:00:00,6,51,9.522474455578125,P50 covariance ellipse,0.5,1,4864.600160516147
FINA,2025-11-19 06:00:00,6,51,9.522474455578125,P90 percentile cone,0.9,1,30665.7806487239
FINA,2025-11-19 06:00:00,6,51,9.522474455578125,P90 covariance ellipse,0.9,1,16159.851943612159
FINA,2025-11-19 12:00:00,6,51,34.4042295417896,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-19 12:00:00,6,51,34.4042295417896,P50 percentile cone,0.5,1,11599.982566183293
FINA,2025-11-19 12:00:00,6,51,34.4042295417896,P50 covariance ellipse,0.5,0,2633.9758158662953
FINA,2025-11-19 12:00:00,6,51,34.4042295417896,P90 percentile cone,0.9,1,17863.40781851015
FINA,2025-11-19 12:00:00,6,51,34.4042295417896,P90 covariance ellipse,0.9,1,8749.878263980108
FINA,2025-11-19 18:00:00,6,51,8.08319780745814,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-19 18:00:00,6,51,8.08319780745814,P50 percentile cone,0.5,1,13900.942042590686
FINA,2025-11-19 18:00:00,6,51,8.08319780745814,P50 covariance ellipse,0.5,1,4018.1140087174663
FINA,2025-11-19 18:00:00,6,51,8.08319780745814,P90 percentile cone,0.9,1,30604.06853039928
FINA,2025-11-19 18:00:00,6,51,8.08319780745814,P90 covariance ellipse,0.9,1,13347.885814019033
FINA,2025-11-20 00:00:00,6,51,29.31741918305577,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-20 00:00:00,6,51,29.31741918305577,P50 percentile cone,0.5,1,9795.519133974194
FINA,2025-11-20 00:00:00,6,51,29.31741918305577,P50 covariance ellipse,0.5,1,2851.0598428249777
FINA,2025-11-20 00:00:00,6,51,29.31741918305577,P90 percentile cone,0.9,1,18305.66159649509
FINA,2025-11-20 00:00:00,6,51,29.31741918305577,P90 covariance ellipse,0.9,1,9471.01579208544
FINA,2025-11-20 06:00:00,6,51,13.874709514047211,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-20 06:00:00,6,51,13.874709514047211,P50 percentile cone,0.5,1,13705.836827842024
FINA,2025-11-20 06:00:00,6,51,13.874709514047211,P50 covariance ellipse,0.5,1,4560.863955100922
FINA,2025-11-20 06:00:00,6,51,13.874709514047211,P90 percentile cone,0.9,1,42241.20405832478
FINA,2025-11-20 06:00:00,6,51,13.874709514047211,P90 covariance ellipse,0.9,1,15150.862109408845
FINA,2025-11-20 12:00:00,6,51,43.01613471533965,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-20 12:00:00,6,51,43.01613471533965,P50 percentile cone,0.5,1,11886.41450492755
FINA,2025-11-20 12:00:00,6,51,43.01613471533965,P50 covariance ellipse,0.5,0,4040.8285494067636
FINA,2025-11-20 12:00:00,6,51,43.01613471533965,P90 percentile cone,0.9,1,23257.70374327854
FINA,2025-11-20 12:00:00,6,51,43.01613471533965,P90 covariance ellipse,0.9,1,13423.341884897272
FINA,2025-11-20 18:00:00,6,51,1.35896271577559,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-20 18:00:00,6,51,1.35896271577559,P50 percentile cone,0.5,1,13380.899444170123
FINA,2025-11-20 18:00:00,6,51,1.35896271577559,P50 covariance ellipse,0.5,1,4836.6414294247215
FINA,2025-11-20 18:00:00,6,51,1.35896271577559,P90 percentile cone,0.9,1,24633.693223106693
FINA,2025-11-20 18:00:00,6,51,1.35896271577559,P90 covariance ellipse,0.9,1,16066.975049302151
FINA,2025-11-21 00:00:00,6,51,20.5645905383102,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-21 00:00:00,6,51,20.5645905383102,P50 percentile cone,0.5,1,12217.842496321768
FINA,2025-11-21 00:00:00,6,51,20.5645905383102,P50 covariance ellipse,0.5,1,3682.3047918229195
FINA,2025-11-21 00:00:00,6,51,20.5645905383102,P90 percentile cone,0.9,1,20149.12898875683
FINA,2025-11-21 00:00:00,6,51,20.5645905383102,P90 covariance ellipse,0.9,1,12232.351741894914
FINA,2025-11-21 06:00:00,6,51,11.771732423206116,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-21 06:00:00,6,51,11.771732423206116,P50 percentile cone,0.5,1,13149.76762985165
FINA,2025-11-21 06:00:00,6,51,11.771732423206116,P50 covariance ellipse,0.5,1,5185.095713258591
FINA,2025-11-21 06:00:00,6,51,11.771732423206116,P90 percentile cone,0.9,1,32442.692484539093
FINA,2025-11-21 06:00:00,6,51,11.771732423206116,P90 covariance ellipse,0.9,1,17224.515124553734
FINA,2025-11-21 12:00:00,6,51,33.456821548372034,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-21 12:00:00,6,51,33.456821548372034,P50 percentile cone,0.5,1,8171.248541673831
FINA,2025-11-21 12:00:00,6,51,33.456821548372034,P50 covariance ellipse,0.5,0,2192.264505097401
FINA,2025-11-21 12:00:00,6,51,33.456821548372034,P90 percentile cone,0.9,1,19064.56842488576
FINA,2025-11-21 12:00:00,6,51,33.456821548372034,P90 covariance ellipse,0.9,1,7282.545050907395
FINA,2025-11-21 18:00:00,6,51,22.197361375712813,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-21 18:00:00,6,51,22.197361375712813,P50 percentile cone,0.5,1,10735.375053413229
FINA,2025-11-21 18:00:00,6,51,22.197361375712813,P50 covariance ellipse,0.5,1,4025.1666427358487
FINA,2025-11-21 18:00:00,6,51,22.197361375712813,P90 percentile cone,0.9,1,25920.874709527714
FINA,2025-11-21 18:00:00,6,51,22.197361375712813,P90 covariance ellipse,0.9,1,13371.314157107656
FINA,2025-11-22 00:00:00,6,51,17.883561207922693,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-22 00:00:00,6,51,17.883561207922693,P50 percentile cone,0.5,1,8265.64970614365
FINA,2025-11-22 00:00:00,6,51,17.883561207922693,P50 covariance ellipse,0.5,1,2676.6807639080125
FINA,2025-11-22 00:00:00,6,51,17.883561207922693,P90 percentile cone,0.9,1,24413.93364177161
FINA,2025-11-22 00:00:00,6,51,17.883561207922693,P90 covariance ellipse,0.9,1,8891.741030670591
FINA,2025-11-22 06:00:00,6,51,5.36956282635511,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-22 06:00:00,6,51,5.36956282635511,P50 percentile cone,0.5,1,9408.019213733398
FINA,2025-11-22 06:00:00,6,51,5.36956282635511,P50 covariance ellipse,0.5,1,2912.70429337053
FINA,2025-11-22 06:00:00,6,51,5.36956282635511,P90 percentile cone,0.9,1,24968.452120188882
FINA,2025-11-22 06:00:00,6,51,5.36956282635511,P90 covariance ellipse,0.9,1,9675.794224246605
FINA,2025-11-22 12:00:00,6,51,48.7913939376426,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-22 12:00:00,6,51,48.7913939376426,P50 percentile cone,0.5,1,9206.863643470959
FINA,2025-11-22 12:00:00,6,51,48.7913939376426,P50 covariance ellipse,0.5,0,3201.007473916466
FINA,2025-11-22 12:00:00,6,51,48.7913939376426,P90 percentile cone,0.9,1,25591.98433000532
FINA,2025-11-22 12:00:00,6,51,48.7913939376426,P90 covariance ellipse,0.9,0,10633.516659547533
FINA,2025-11-22 18:00:00,6,51,31.510272512275353,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-22 18:00:00,6,51,31.510272512275353,P50 percentile cone,0.5,1,9546.4570365202
FINA,2025-11-22 18:00:00,6,51,31.510272512275353,P50 covariance ellipse,0.5,1,3199.8538152200917
FINA,2025-11-22 18:00:00,6,51,31.510272512275353,P90 percentile cone,0.9,1,20648.30739069602
FINA,2025-11-22 18:00:00,6,51,31.510272512275353,P90 covariance ellipse,0.9,1,10629.684288312137
FINA,2025-11-23 00:00:00,6,51,34.49610262309221,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-23 00:00:00,6,51,34.49610262309221,P50 percentile cone,0.5,1,10095.54001169533
FINA,2025-11-23 00:00:00,6,51,34.49610262309221,P50 covariance ellipse,0.5,1,3107.674029293337
FINA,2025-11-23 00:00:00,6,51,34.49610262309221,P90 percentile cone,0.9,1,20006.072743245677
FINA,2025-11-23 00:00:00,6,51,34.49610262309221,P90 covariance ellipse,0.9,1,10323.469667661346
FINA,2025-11-23 06:00:00,6,51,22.95708417229986,Fixed-radius region,,1,1963.4928890086885
FINA,2025-11-23 06:00:00,6,51,22.95708417229986,P50 percentile cone,0.5,1,13289.186444668849
FINA,2025-11-23 06:00:00,6,51,22.95708417229986,P50 covariance ellipse,0.5,1,3772.6910334167437
FINA,2025-11-23 06:00:00,6,51,22.95708417229986,P90 percentile cone,0.9,1,26109.21657100543
FINA,2025-11-23 06:00:00,6,51,22.95708417229986,P90 covariance ellipse,0.9,1,12532.608337236716
FINA,2025-11-23 12:00:00,6,51,58.51063449432747,Fixed-radius region,,0,1963.4928890086885
FINA,2025-11-23 12:00:00,6,51,58.51063449432747,P50 percentile cone,0.5,0,8092.352059987299
FINA,2025-11-23 12:00:00,6,51,58.51063449432747,P50 covariance ellipse,0.5,0,2048.0153424051728
