marker,horizon_h,bin_index,bin_lower,bin_upper,cell_count,mean_forecast_probability,observed_frequency
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,0,0.0,0.1,45209,0.0006124914196536444,0.0005087482580902032
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,1,0.1,0.2,102,0.14716210627957385,0.12745098039215685
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,2,0.2,0.3,63,0.2426187853223183,0.2698412698412698
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,3,0.3,0.4,11,0.34178098116717043,0.2727272727272727
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,4,0.4,0.5,7,0.44230419440503477,0.42857142857142855
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,5,0.5,0.6,2,0.5,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,6,0.6,0.7,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,7,0.7,0.8,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,8,0.8,0.9,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,6,9,0.9,1.0,2,1.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,0,0.0,0.1,44641,0.0006916149670737286,0.0006720279563629847
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,1,0.1,0.2,142,0.1440877029311478,0.14084507042253522
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,2,0.2,0.3,34,0.23995926666411738,0.17647058823529413
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,3,0.3,0.4,7,0.32857142857142857,0.2857142857142857
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,4,0.4,0.5,5,0.4195957767722474,0.2
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,5,0.5,0.6,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,6,0.6,0.7,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,7,0.7,0.8,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,8,0.8,0.9,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,12,9,0.9,1.0,1,1.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,0,0.0,0.1,43340,0.0008818264160059456,0.0006922011998154131
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,1,0.1,0.2,138,0.13719490949104166,0.12318840579710146
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,2,0.2,0.3,18,0.22808350690703635,0.1111111111111111
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,3,0.3,0.4,3,0.3348873348873349,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,4,0.4,0.5,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,5,0.5,0.6,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,6,0.6,0.7,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,7,0.7,0.8,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,8,0.8,0.9,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,24,9,0.9,1.0,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,0,0.0,0.1,38383,0.0012131951291954497,0.0009379152228851315
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,1,0.1,0.2,40,0.12091814360720321,0.1
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,2,0.2,0.3,3,0.25,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,3,0.3,0.4,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,4,0.4,0.5,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,5,0.5,0.6,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,6,0.6,0.7,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,7,0.7,0.8,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,8,0.8,0.9,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,48,9,0.9,1.0,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,0,0.0,0.1,31706,0.0012238112893325581,0.0010723522361698102
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,1,0.1,0.2,6,0.12023120359254813,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,2,0.2,0.3,1,0.25,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,3,0.3,0.4,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,4,0.4,0.5,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,5,0.5,0.6,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,6,0.6,0.7,0,,
