marker,cyclone_id,forecast_time,horizon_h,member_count,estimator,predicted_vw_exposure,realized_vw_exposure,absolute_error
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 06:00:00,6,51,P90 envelope,90372.25162857774,0.0,90372.25162857774
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 06:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 12:00:00,6,49,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 12:00:00,6,49,P90 envelope,90372.25162857774,0.0,90372.25162857774
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 12:00:00,6,49,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 18:00:00,6,46,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 18:00:00,6,46,P90 envelope,5379155.280819117,0.0,5379155.280819117
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-11-30 18:00:00,6,46,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 00:00:00,6,31,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 00:00:00,6,31,P90 envelope,6725441.000823498,0.0,6725441.000823498
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 00:00:00,6,31,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 06:00:00,6,24,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 06:00:00,6,24,P90 envelope,5379155.280819117,0.0,5379155.280819117
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 06:00:00,6,24,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 12:00:00,6,9,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 12:00:00,6,9,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 12:00:00,6,9,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 18:00:00,6,8,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 18:00:00,6,8,P90 envelope,6815813.2524520755,0.0,6815813.2524520755
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-01 18:00:00,6,8,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 00:00:00,6,1,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 00:00:00,6,1,P90 envelope,5379155.280819117,0.0,5379155.280819117
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 00:00:00,6,1,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 06:00:00,6,2,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 06:00:00,6,2,P90 envelope,5469527.532447695,0.0,5469527.532447695
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 06:00:00,6,2,Ensemble probability-weighted,45186.12581428887,0.0,45186.12581428887
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 12:00:00,6,11,Deterministic mean-track,90372.25162857774,90372.25162857774,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 12:00:00,6,11,P90 envelope,8269520.739648335,90372.25162857774,8179148.488019757
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DITWAH,2025-12-02 12:00:00,6,11,Ensemble probability-weighted,41078.29619480806,90372.25162857774,49293.955433769675
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DUDZAI,2026-01-15 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DUDZAI,2026-01-15 06:00:00,6,51,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,DUDZAI,2026-01-15 06:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-18 18:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-18 18:00:00,6,51,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-18 18:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 00:00:00,6,51,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 00:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 06:00:00,6,51,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 06:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 12:00:00,6,51,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 12:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 18:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 18:00:00,6,51,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 18:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 00:00:00,6,51,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 00:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 06:00:00,6,51,P90 envelope,0.3487557721055054,0.0,0.3487557721055054
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 06:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 12:00:00,6,51,P90 envelope,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 12:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 18:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 18:00:00,6,51,P90 envelope,80.6247598575745,0.0,80.6247598575745
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 18:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 00:00:00,6,51,P90 envelope,83.66799207752669,0.0,83.66799207752669
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 00:00:00,6,51,Ensemble probability-weighted,1.5808776442661667,0.0,1.5808776442661667
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 06:00:00,6,51,P90 envelope,99.96066464055623,0.0,99.96066464055623
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 06:00:00,6,51,Ensemble probability-weighted,7.039565217053415,0.0,7.039565217053415
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 12:00:00,6,51,P90 envelope,2784.380081595136,0.0,2784.380081595136
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 12:00:00,6,51,Ensemble probability-weighted,53.530743142232595,0.0,53.530743142232595
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 18:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 18:00:00,6,51,P90 envelope,2703.755321737561,0.0,2703.755321737561
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 18:00:00,6,51,Ensemble probability-weighted,211.9668856755774,0.0,211.9668856755774
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 00:00:00,6,51,Deterministic mean-track,2684.4194169545794,0.0,2684.4194169545794
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 00:00:00,6,51,P90 envelope,21976.838007954295,0.0,21976.838007954295
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 00:00:00,6,51,Ensemble probability-weighted,965.0746280520585,0.0,965.0746280520585
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 06:00:00,6,51,Deterministic mean-track,878.2537354137279,878.2537354137279,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 06:00:00,6,51,P90 envelope,31225.55741010654,878.2537354137279,30347.303674692812
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 06:00:00,6,51,Ensemble probability-weighted,674.1879243492981,878.2537354137279,204.0658110644298
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 12:00:00,6,51,P90 envelope,10143.311250485775,0.0,10143.311250485775
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 12:00:00,6,51,Ensemble probability-weighted,704.1995036755363,0.0,704.1995036755363
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 18:00:00,6,51,Deterministic mean-track,0.045440356770996004,0.045440356770996004,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 18:00:00,6,51,P90 envelope,10143.311250485775,0.045440356770996004,10143.265810129004
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 18:00:00,6,51,Ensemble probability-weighted,34.544385318477005,0.045440356770996004,34.49894496170601
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 00:00:00,6,51,P90 envelope,6.616474335161904,0.0,6.616474335161904
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 00:00:00,6,51,Ensemble probability-weighted,0.00534592432599953,0.0,0.00534592432599953
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 06:00:00,6,51,P90 envelope,718.1629696526456,0.0,718.1629696526456
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 06:00:00,6,51,Ensemble probability-weighted,0.0008909873876665883,0.0,0.0008909873876665883
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 12:00:00,6,51,P90 envelope,7.249170327358108,0.0,7.249170327358108
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 12:00:00,6,51,Ensemble probability-weighted,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 18:00:00,6,51,Deterministic mean-track,0.0,0.1337494378194607,0.1337494378194607
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 18:00:00,6,51,P90 envelope,7.253437336798918,0.1337494378194607,7.119687898979457
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 18:00:00,6,51,Ensemble probability-weighted,0.0,0.1337494378194607,0.1337494378194607
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 00:00:00,6,51,P90 envelope,15.758070878128784,0.0,15.758070878128784
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 00:00:00,6,51,Ensemble probability-weighted,0.034092993953980175,0.0,0.034092993953980175
