marker,m_label,m_size,x_fraction,x_size,repeat,case_count,total_runtime_s,runtime_s,rss_before_gb,peak_memory_gb,peak_memory_delta_gb,throughput_items_per_s,checksum
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,1,298,0.07811337499999982,0.00026212541946308665,0.03326416015625,0.0363311767578125,0.0030670166015625,5455403.764080107,30199771.972766574
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,2,298,0.07698775000000002,0.0002583481543624162,0.03631591796875,0.0363311767578125,1.52587890625e-05,5535166.308925769,30530883.494816475
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,3,298,0.0768660000000001,0.0002579395973154366,0.03631591796875,0.0363311767578125,1.52587890625e-05,5543933.59873025,24669249.60132769
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,4,298,0.0769186249999998,0.0002581161912751671,0.03631591796875,0.036346435546875,3.0517578125e-05,5540140.635639302,42014711.04727262
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,5,298,0.07634654200000002,0.0002561964496644296,0.0363311767578125,0.036346435546875,1.52587890625e-05,5581654.241786091,38225045.11388008
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,6,298,0.07714574999999968,0.0002588783557046969,0.0363311767578125,0.036346435546875,1.52587890625e-05,5523829.893416057,36685659.05094351
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,7,298,0.07680279200000006,0.0002577274899328861,0.0363311767578125,0.036346435546875,1.52587890625e-05,5548496.205710851,61080967.16646919
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,8,298,0.07810054099999997,0.0002620823523489932,0.0363311767578125,0.036346435546875,1.52587890625e-05,5456300.232286485,35578773.56406261
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,9,298,0.07865849999999996,0.00026395469798657707,0.0363311767578125,0.036346435546875,1.52587890625e-05,5417596.318261856,47021439.4252963
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,10,298,0.07779141699999981,0.0002610450234899322,0.0363311767578125,0.0363616943359375,3.0517578125e-05,5477982.230353267,41078878.80224382
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,1,298,0.10839358400000032,0.00036373685906040373,0.036346435546875,0.036468505859375,0.0001220703125,9842279.96372919,95847515.04020996
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,2,298,0.10864779199999974,0.0003645899060402676,0.0364532470703125,0.036468505859375,1.52587890625e-05,9819251.549999308,77718882.44184953
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,3,298,0.10834445799999992,0.00036357200671140915,0.0364532470703125,0.036468505859375,1.52587890625e-05,9846742.691721257,102934390.45292924
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,4,298,0.10906608300000009,0.00036599356711409424,0.0364532470703125,0.036468505859375,1.52587890625e-05,9781592.688168688,87703414.17158037
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,5,298,0.10889616700000015,0.0003654233791946314,0.0364532470703125,0.036468505859375,1.52587890625e-05,9796855.384267092,96936119.49552324
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,6,298,0.10949466700000032,0.0003674317684563769,0.0364532470703125,0.036468505859375,1.52587890625e-05,9743305.580353031,101582175.45102371
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,7,298,0.10945833399999971,0.0003673098456375829,0.0364532470703125,0.036468505859375,1.52587890625e-05,9746539.71985361,173681080.745021
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,8,298,0.11007154200000002,0.0003693675906040269,0.0364532470703125,0.036468505859375,1.52587890625e-05,9692241.796703456,174006125.37322107
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,9,298,0.12344866700000034,0.0004142572718120817,0.0364532470703125,0.036468505859375,1.52587890625e-05,8641972.618464945,89403259.34778914
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,10,298,0.10838087500000038,0.0003636942114093972,0.0364532470703125,0.036468505859375,1.52587890625e-05,9843434.092961479,110882345.64215986
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,1,298,0.15193733299999979,0.0005098568221476502,0.0364532470703125,0.0366363525390625,0.00018310546875,14043158.174956271,226866396.81395707
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,2,298,0.15063774999999957,0.0005054958053691261,0.03662109375,0.0366363525390625,1.52587890625e-05,14164311.402686285,158943474.95283237
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,3,298,0.16829879199999986,0.0005647610469798653,0.03662109375,0.0366363525390625,1.52587890625e-05,12677928.193328932,200753444.66412306
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,4,298,0.1513217090000003,0.0005077909697986587,0.03662109375,0.0366363525390625,1.52587890625e-05,14100290.130876038,157917374.9812811
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,5,298,0.15316541600000022,0.0005139779060402692,0.03662109375,0.0366363525390625,1.52587890625e-05,13930559.885659808,197528863.80101368
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,6,298,0.15310299999999977,0.0005137684563758381,0.03662109375,0.036651611328125,3.0517578125e-05,13936239.002501605,193115588.049793
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,7,298,0.15194745899999962,0.0005098908020134215,0.0366363525390625,0.036651611328125,1.52587890625e-05,14042222.318439728,280277733.7824276
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,8,298,0.15171029199999975,0.0005090949395973145,0.0366363525390625,0.036651611328125,1.52587890625e-05,14064174.367286853,199503513.76765388
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,9,298,0.15168462500000057,0.0005090088087248341,0.0366363525390625,0.036651611328125,1.52587890625e-05,14066554.207455054,242583095.51030058
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,10,298,0.15177849999999982,0.0005093238255033551,0.0366363525390625,0.036651611328125,1.52587890625e-05,14057854.043886337,117858974.17240281
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,1,298,0.1933561250000002,0.0006488460570469805,0.0366363525390625,0.036895751953125,0.0002593994140625,16544756.469442055,283248932.6316279
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,2,298,0.19220725000000005,0.0006449907718120807,0.0368804931640625,0.036895751953125,1.52587890625e-05,16643648.977861132,247066801.44361475
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,3,298,0.19222045899999962,0.000645035097315435,0.0368804931640625,0.036895751953125,1.52587890625e-05,16642505.260067068,292117844.6185407
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,4,298,0.19270250000000022,0.0006466526845637591,0.0368804931640625,0.036895751953125,1.52587890625e-05,16600874.40484683,252979396.8340032
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,5,298,0.19220791700000017,0.0006449930100671146,0.0368804931640625,0.036895751953125,1.52587890625e-05,16643591.221062956,297654021.75008553
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,6,298,0.19148833399999976,0.000642578302013422,0.0368804931640625,0.036895751953125,1.52587890625e-05,16706135.215527043,288689695.3310869
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,7,298,0.19261716699999987,0.0006463663322147647,0.0368804931640625,0.036895751953125,1.52587890625e-05,16608228.902047977,308812743.48053
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,8,298,0.1917416249999997,0.0006434282718120795,0.0368804931640625,0.0369110107421875,3.0517578125e-05,16684066.383603483,355292633.9075619
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,9,298,0.19238179099999986,0.0006455764798657714,0.036895751953125,0.0369110107421875,1.52587890625e-05,16628548.800650276,302032628.38879657
