marker,m_label,m_size,x_fraction,x_size,repeat,case_count,total_runtime_s,runtime_s,rss_before_gb,peak_memory_gb,peak_memory_delta_gb,throughput_items_per_s,checksum
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,1,298,0.08176645800000015,0.0002743840872483227,0.03094482421875,0.0342254638671875,0.0032806396484375,5211672.492894325,36464119.16299469
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,2,298,0.07902454199999998,0.00026518302684563753,0.034210205078125,0.03424072265625,3.0517578125e-05,5392501.99007797,40767892.72305742
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,3,298,0.07979958400000009,0.0002677838389261748,0.0342254638671875,0.03424072265625,1.52587890625e-05,5340128.088888277,68569989.7493574
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,4,298,0.07965787499999988,0.00026730830536912713,0.0342254638671875,0.03424072265625,1.52587890625e-05,5349628.018573187,19568010.04952699
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,5,298,0.0794907079999998,0.0002667473422818785,0.0342254638671875,0.03424072265625,1.52587890625e-05,5360878.154463048,46412965.02061237
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,6,298,0.07943579199999995,0.0002665630604026844,0.0342254638671875,0.0342559814453125,3.0517578125e-05,5364584.2670014575,30947806.35949833
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,7,298,0.07850287499999986,0.00026343246644295254,0.03424072265625,0.0342559814453125,1.52587890625e-05,5428336.223354887,44254593.81948765
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,8,298,0.08073141699999997,0.00027091079530201334,0.03424072265625,0.0342559814453125,1.52587890625e-05,5278490.280927438,54206930.88213025
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,9,298,0.08037129200000015,0.0002697023221476515,0.03424072265625,0.0342559814453125,1.52587890625e-05,5302141.963824585,102846070.29271045
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,10,298,0.07911445900000036,0.00026548476174496763,0.031402587890625,0.0314178466796875,1.52587890625e-05,5386373.178637272,33835371.47719669
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,1,298,0.11140004200000009,0.0003738256442953023,0.031402587890625,0.0315093994140625,0.0001068115234375,9576657.071637362,72250357.41059895
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,2,298,0.11145950000000004,0.00037402516778523503,0.031494140625,0.0315093994140625,1.52587890625e-05,9571548.409960566,80893483.46561034
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,3,298,0.112210417,0.0003765450234899329,0.031494140625,0.0315093994140625,1.52587890625e-05,9507495.190932227,109199898.53832611
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,4,298,0.11131533299999985,0.0003735413859060398,0.031494140625,0.0315093994140625,1.52587890625e-05,9583944.73832281,92349321.94838971
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,5,298,0.11090737500000003,0.00037217239932885914,0.031494140625,0.0315093994140625,1.52587890625e-05,9619198.001936298,48553194.06634933
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,6,298,0.1116074170000001,0.0003745215335570473,0.031494140625,0.0315093994140625,1.52587890625e-05,9558862.920373823,104625534.15193675
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,7,298,0.11251416600000042,0.000377564315436243,0.031494140625,0.0315093994140625,1.52587890625e-05,9481828.270406378,130582329.64569362
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,8,298,0.11129683299999993,0.0003734793053691273,0.031494140625,0.0315093994140625,1.52587890625e-05,9585537.80232004,105828404.7995572
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,9,298,0.11098508299999965,0.00037243316442952905,0.031494140625,0.0315093994140625,1.52587890625e-05,9612462.96495542,115758168.85125393
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,10,298,0.1114884169999999,0.0003741222046979862,0.031494140625,0.0315093994140625,1.52587890625e-05,9569065.816047966,110792070.71365209
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.5,1432,1,298,0.15734933299999998,0.0005280178959731543,0.031494140625,0.0316619873046875,0.0001678466796875,13560146.454513414,203396171.6794336
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.5,1432,2,298,0.15482049999999958,0.0005195318791946295,0.031646728515625,0.0316619873046875,1.52587890625e-05,13781637.444653684,196384250.6292189
