epoch,L_data,R_adv,R_diff,R_mass,R_wp,R_nrg,R_cont,L_total,lr,source_csv
1,37.46882343292236,6.918360894777227e-05,0.014295240460342,8.035857577700274e-05,0.0007860912560886,0.0127414951421087,9.218701806427514e-05,39.88701452501118,0.0004,metrics/physics/full/pigno_train_log.csv
2,31.0586013396581,6.910103331847495e-05,0.0137420873131001,8.145471485931921e-05,0.0006786656746271,0.0127259262456694,0.0001847261770914,34.889270975409694,0.0006,metrics/physics/full/pigno_train_log.csv
3,21.61151252190272,6.91431286365211e-05,0.0130859773865571,0.0001028067966899,0.0005687519648063,0.0127711716483342,0.0007445512574122,27.074817308661295,0.0008,metrics/physics/full/pigno_train_log.csv
4,13.100463092327118,6.947637515490139e-05,0.0118931771842956,0.000107584111447,0.0004630292026301,0.012876462100697,0.001504347622055,20.42127531851808,0.001,metrics/physics/full/pigno_train_log.csv
5,7.06981651733319,6.992872929837783e-05,0.0098388018565553,7.954091254684197e-05,0.0003348602024667,0.0129921883835777,0.0024309648870257,16.038140911971823,0.001,metrics/physics/full/pigno_train_log.csv
6,4.358615795771281,7.010989479757275e-05,0.0078031409915032,6.708082554496286e-05,0.0002726529360188,0.0131071390242141,0.003162374838818,13.00801991174088,0.0009891830623632,metrics/physics/full/pigno_train_log.csv
7,3.297333768258492,7.021826601535015e-05,0.0063105716835707,6.05404380659517e-05,0.0002505643664486,0.0131543705007667,0.003581220285317,11.60646322409866,0.000957205001533,metrics/physics/full/pigno_train_log.csv
8,2.6489201163252196,7.029563161609076e-05,0.0053076460638597,5.531893829887243e-05,0.0002384582457276,0.0131551329459398,0.0038700891491316,10.734245379618793,0.0009054634122155,metrics/physics/full/pigno_train_log.csv
9,2.3938434968392053,7.034120438239218e-05,0.0046178598543823,5.276869719258078e-05,0.0002328844242356,0.0131627864808857,0.0040122667972658,10.271844806004763,0.0008362196501476,metrics/physics/full/pigno_train_log.csv
10,2.1655472411463657,7.037480777209264e-05,0.0039710837296903,4.986747472912611e-05,0.0002172813687669,0.0131478907563481,0.0041555758180038,9.851271027053144,0.0007524999999999,metrics/physics/full/pigno_train_log.csv
11,2.045423575987418,7.037881881425771e-05,0.0035238921985486,4.9002885816662456e-05,0.0002103586927167,0.0131463376407433,0.0042330881745632,9.580493790087454,0.0006579634122155,metrics/physics/full/pigno_train_log.csv
12,1.9455740544945,7.03832844142956e-05,0.0032702260274769,4.755257585505509e-05,0.0002014479866166,0.0131453352108413,0.0043062185723101,9.420912392880837,0.0005567415893174,metrics/physics/full/pigno_train_log.csv
13,1.8686431075135868,7.041919713894156e-05,0.0029284972151799,4.6218007355491864e-05,0.0002047394637259,0.0131450901023223,0.0043439254877739,9.211118581049808,0.0004532584106825,metrics/physics/full/pigno_train_log.csv
14,1.7791466346631448,7.040293653422698e-05,0.0026730480443196,4.5139228272243294e-05,0.0001969934769097,0.0131289356158958,0.0043707182461124,9.01404095140424,0.0003520365877844,metrics/physics/full/pigno_train_log.csv
15,1.7268479422976573,7.04217051084773e-05,0.0025170310367078,4.441029134720035e-05,0.0001972918987765,0.0131203598042096,0.0043963645754653,8.907956586790382,0.0002575,metrics/physics/full/pigno_train_log.csv
16,1.6943970564752815,7.040172167194214e-05,0.0023274777468031,4.407534174788452e-05,0.0001847438082052,0.0131259943906722,0.0044286347159262,8.80691607673316,0.0001737803498523,metrics/physics/full/pigno_train_log.csv
17,1.6576504986733198,7.043085436938175e-05,0.0022096150120584,4.357333788599741e-05,0.0001886803398557,0.0131157798829614,0.0044363440356391,8.719416014336124,0.0001045365877844,metrics/physics/full/pigno_train_log.csv
18,1.6379892577727635,7.042371849289945e-05,0.002096696030397,4.3141663885156355e-05,0.0001842904214773,0.0131124907647972,0.0044559396313464,8.659913249140118,5.279499846691252e-05,metrics/physics/full/pigno_train_log.csv
19,1.6047000537316003,7.043993383604175e-05,0.0020544363375544,4.282533406770502e-05,0.0001871055268149,0.0131214084303792,0.0044643920118687,8.61592963140788,2.081693763676618e-05,metrics/physics/full/pigno_train_log.csv
20,1.5963565446436403,7.042862506049612e-05,0.0020243728760457,4.271405427402897e-05,0.0001834644769663,0.0131171625312163,0.0044724680725873,8.598255159508577,1e-05,metrics/physics/full/pigno_train_log.csv
