model_a,model_b,horizon,n_paired_storms,mean_diff_a_minus_b,diff_ci95_lo,diff_ci95_hi,p_raw,p_holm,claimable_at_0.05
CLIPER (climatology+persistence),Persistence,6,107,7.491222070004317,6.0329469716360755,9.060857385614444,6.541225309036234e-15,3.92473518542174e-14,True
CLIPER (climatology+persistence),Persistence,12,107,6.340567747114872,3.273131843370338,9.564131140265248,0.0003019265405739417,0.0006038530811478835,True
CLIPER (climatology+persistence),Persistence,24,106,-5.814752455663816,-12.477567896299854,1.1129256592737469,0.008394667005468495,0.008394667005468495,False
CLIPER (climatology+persistence),Persistence,48,100,-47.5924810623214,-64.1166831992409,-30.781542507793386,1.08360762057524e-08,3.2508228617257203e-08,True
CLIPER (climatology+persistence),Persistence,72,89,-99.40253697400932,-124.07868018361121,-75.19811689477801,2.351660289812426e-11,1.175830144906213e-10,True
CLIPER (climatology+persistence),Persistence,120,64,-196.49276511981236,-243.14660345832013,-148.1135640008714,4.144595721800342e-09,1.6578382887201368e-08,True
