marker,metric,6 h,12 h,24 h,48 h,72 h,96 h
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Zero-realized-exposure cases,160,155,152,128,99,71
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,"Cases with |R_i,h| < 3",214,210,193,152,120,70
