marker,estimator,horizon_h,mean_signed_error,median_signed_error,signed_error_ci95_low,signed_error_ci95_high,mean_exposure_ratio,median_exposure_ratio,ratio_ci95_low,ratio_ci95_high,signed_error_cases,ratio_cases,zero_realized_cases_excluded_from_ratio,signed_error_cyclones,ratio_cyclones
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,6,2805.0452710414415,0.0,-3437.2714762385285,9673.467741365535,1.0109338585554906,0.0,0.3818026518766225,2.5358163404832386,219,59,160,13,11
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,12,6323.257415320969,0.0,-8919.059261258904,26243.262073164296,0.6753097653858481,0.0,0.324075721004013,1.4083605868091422,214,59,155,13,10
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,24,7595.3564707292,0.0,-941.2170221629893,17220.31589926988,0.46220782963215185,0.0,0.2031052199366544,0.8244505147636424,201,49,152,13,11
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,48,18687.22318148968,0.0,-15942.441165675626,73776.62540923299,0.22808466636326066,0.0,0.13793103448275862,0.33793089187322906,168,40,128,13,10
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,72,10839.636782739659,0.0,-32677.102027132816,66308.91560302635,0.3995982132512057,0.0,0.11024048240925155,0.9180777488169664,133,34,99,11,7
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Deterministic mean-track,96,-19357.689236893224,0.0,-39963.020410026416,-665.2603874909448,0.15772137794266564,0.0,0.03623938806738871,0.28071634477700674,100,29,71,10,7
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,6,660400.543065395,451385.74041812366,379644.1954067583,913201.9300831216,10.672586772088055,5.638310080679952,5.791051613528234,22.352199365247827,219,59,160,13,11
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,12,755860.0896708204,501511.1121670051,434894.8355359706,1067341.415446879,15.014166369442961,6.559660829233063,6.547072002634887,36.318457470877,214,59,155,13,10
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,24,990938.7321267626,690970.7991668001,591407.8355334968,1371259.3626974055,19.214224435987465,7.312638336914036,7.827722581543037,45.490159978343094,201,49,152,13,11
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,48,1615650.7224775113,1095041.896237161,918015.7927577939,2344880.677778319,13.753971968096664,10.975174503388255,10.653851095515261,18.85904479640981,168,40,128,13,10
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,72,2376482.8523183735,2114541.695849658,1390958.5529882358,3477032.437003205,122.76582378013015,14.565636313155581,12.755798749578702,368.7993481309347,133,34,99,11,7
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 envelope,96,3090150.7131059677,2757636.106746135,2009459.0524703718,4508548.545033412,650.9840321927999,21.87647845393622,17.899864848855547,1603.2451110768127,100,29,71,10,7
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,6,6724.924839946378,16078.478090868426,-4199.037554240246,19151.963107604388,0.5111027925166787,0.29117367139901323,0.28371164685040734,1.1282825876678322,219,59,160,13,11
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,12,3389.6085486167362,16111.788816294196,-8559.531244028361,16213.255868639582,0.48597251056114793,0.2846693340133419,0.27571556539849623,1.0238041765711396,214,59,155,13,10
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,24,4864.976060003668,16779.82062127716,-11008.856124314534,23190.009939737833,0.5811249779722987,0.25398150791096213,0.25619478705514387,1.343301178133433,201,49,152,13,11
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,48,-5178.315423216081,11174.381521984527,-22856.402538260827,14826.421338047727,0.20498143698133348,0.17876764311992638,0.17572911370794528,0.2498837240141639,168,40,128,13,10
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,72,-20031.53209045187,7661.6702380430725,-40120.00513473638,678.3336015722645,0.3271327226109112,0.14665142405198484,0.12101792054146557,0.7648446144536668,133,34,99,11,7
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,Ensemble probability-weighted,96,-20221.001378782898,4977.486429206089,-41127.35485975713,262.3027381529722,0.7471451601713804,0.11100670666750707,0.09172455812951026,1.6761509670379333,100,29,71,10,7
