marker,estimator,horizon_h,mean_signed_error,median_signed_error,signed_error_ci95_low,signed_error_ci95_high,mean_exposure_ratio,median_exposure_ratio,ratio_ci95_low,ratio_ci95_high,signed_error_cases,ratio_cases,zero_realized_cases_excluded_from_ratio,signed_error_cyclones,ratio_cyclones
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,6,-3739.184409213246,0.0,-11715.323695611258,2822.9460043403005,0.498240604852805,0.3059774139826826,0.26666666666666666,0.7003146007359307,219,19,200,13,7
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,12,3705.847253476815,0.0,-2435.027434430517,12730.577584166143,0.4234298994554725,0.0,0.26573621520307006,0.569956535234256,214,20,194,13,7
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,24,10438.20300675558,0.0,-11766.687075999225,48176.931139199405,0.18366541188792682,0.0,0.05263157894736842,0.3125,201,18,183,13,8
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,48,31971.177759083643,0.0,-1369.7973882448996,86801.63548129481,0.2925962281869987,0.0,0.07692307692307693,0.4875906814031734,168,14,154,13,7
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,72,50536.26299590546,0.0,2687.3268485204385,157721.39983573768,0.0,0.0,0.0,0.0,133,10,123,11,4
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Deterministic mean-track,96,-428.72156527684535,0.0,-12702.341910811037,20755.24982785892,0.003544778713237771,0.0,0.0,0.008700820477947256,100,9,91,10,4
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,6,919870.6037082428,1.1892035901546478,292587.23253417015,1891020.6826598516,11790.524383381256,18.366267594438746,20.762404578301187,31948.909857915838,219,19,200,13,7
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,12,1091270.4971753203,19.517227662163307,400239.20332477376,2190566.5371423955,11657.086914778472,19.695919145413022,17.119895025823826,31734.0799542289,214,20,194,13,7
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,24,1950951.9253139396,718.1629696526456,776185.270640746,3836940.2516799173,12666.142526213634,28.667379909502195,29.73180624576695,32492.21071096839,201,18,183,13,8
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,48,3511059.69055916,32368.35633394825,1040912.7645325585,7441532.220049207,52318.44332208357,49.71314608404896,54.284503123197446,120285.4982430982,168,14,154,13,7
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,72,5814748.893753682,929767.9578782321,2009796.8352964506,12350551.79714496,75850.63486130291,66.3087553467659,94.46545693865852,156638.94859538763,133,10,123,11,4
REAL_HUMANITARIAN_GEOSPATIAL_DATA,P90 envelope,96,8691406.459601464,3103594.803526561,3529501.4988041855,18619414.5360148,95460.11074586748,88.89188210659256,207.8822297864145,225481.996505595,100,9,91,10,4
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,6,6715.557421140779,0.0,-1022.325436006567,22278.794835303397,40.31749585674929,0.3051207972672609,0.2848892628748845,108.89302870605063,219,19,200,13,7
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,12,7916.084291646539,0.0,-1108.9179254883097,24733.94723156027,57.39062545723177,0.4025901547623806,0.3712391481622603,155.78197028611666,214,20,194,13,7
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,24,24437.855055517168,0.0,-4217.286403876475,68898.78701660126,22.7184073182532,0.4618476101073198,0.313653119592857,56.65203095029171,201,18,183,13,8
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,48,24408.132321812373,0.10093111940984133,275.58362068703065,68142.35584477548,1216.680659710679,0.5149548398393102,0.5983885173222729,2835.6083141237677,168,14,154,13,7
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,72,21840.544846916157,22.301311867714556,2076.723038524282,57074.32097912299,40.695210151467855,0.5710423871198247,0.24826390190137254,86.81352246291006,133,10,123,11,4
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Ensemble probability-weighted,96,18938.861849446446,5742.113410857128,-6.863536715740597,51921.01129597699,1155.2488537258753,0.4431183951053653,0.47424453612780393,2815.088368164452,100,9,91,10,4
