marker,metric,metric_key,estimator,horizon_h,storm_level_mean,ci95_low,ci95_high,contributing_storms,contributing_cases
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Recall@5,recall_at_5,Ensemble probability-weighted,72,1.0,1.0,1.0,4,10
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Spearman,spearman,Deterministic mean-track,24,,,,0,0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Spearman,spearman,Deterministic mean-track,48,,,,0,0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Spearman,spearman,Deterministic mean-track,72,,,,0,0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Spearman,spearman,P90 envelope,24,0.8660254037844387,0.8660254037844387,0.8660254037844387,4,5
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Spearman,spearman,P90 envelope,48,0.07481798190656438,-0.2581988897471611,0.40783485356028987,2,4
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Spearman,spearman,P90 envelope,72,0.03188819284126418,-0.2581988897471611,0.32197527542968946,2,4
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Spearman,spearman,Ensemble probability-weighted,24,,,,0,0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Spearman,spearman,Ensemble probability-weighted,48,0.8660254037844387,0.8660254037844387,0.8660254037844387,1,2
REAL_HUMANITARIAN_GEOSPATIAL_DATA,Spearman,spearman,Ensemble probability-weighted,72,-0.24498769191975983,-0.8660254037844387,0.37605001994491905,2,4
