marker,comparison,horizon_h,mean_cycle_level_difference,mean_storm_level_difference,paired_cyclones,wilcoxon_raw_p,holm_adjusted_p,significant_after_holm_0_05
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,det - ens,24,3958.97068540209,4711.696989170068,13,0.19091796875,0.3818359375,False
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,det - ens,48,25911.142594138677,21663.006945313777,13,0.039794921875,0.119384765625,False
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,det - ens,72,23322.123778359117,14507.835503254151,11,0.51953125,0.51953125,False
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 - ens,24,937323.2748217918,696364.3740951176,13,0.000244140625,0.00146484375,True
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 - ens,48,1561098.2961471467,1148788.3246720692,13,0.000244140625,0.00146484375,True
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,P90 - ens,72,2319350.7562251803,1794695.455613309,11,0.0009765625,0.00390625,True
