horizon_h,mean_track_error_km,median_track_error_km,verifying_cases
6,36.277754975405024,28.3791217290121,219
12,41.49644010107175,35.073447173286525,214
24,52.82132262025115,43.35215749525028,201
48,82.96243446228075,77.07005584270175,168
72,135.38278407800183,121.19482248638926,133
96,208.30541762526846,172.84995699218794,100
