marker,m_label,m_size,x_fraction,x_size,repeats,mean_runtime_s,median_runtime_s,runtime_std_s,peak_memory_gb,mean_peak_memory_gb,mean_throughput_items_per_s,median_throughput_items_per_s
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.1,286,10,0.000267750000671141,0.0002670278238255028,3.1760464801831643e-06,0.0342559814453125,0.0339630126953125,5341473.465864245,5355253.086518118
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.25,716,10,0.0003742230144295302,0.0003739254060402687,1.6759291621174153e-06,0.0315093994140625,0.0315093994140625,9566660.11868929,9574102.740798965
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.5,1432,10,0.000522688870134228,0.0005203566124161055,5.855082888298389e-06,0.03167724609375,0.0316680908203125,13699922.998211717,13759798.192193624
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,0.75,2147,10,0.0006691403241610736,0.0006614435805369136,2.3260828035990737e-05,0.03192138671875,0.0314117431640625,16059059.801227933,16229671.719164368
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,5,5,1.0,2863,10,0.0008241840741610746,0.000818685753355704,2.4450488304747174e-05,0.0309906005859375,0.03098297119140625,17382210.903415542,17485353.530393295
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.1,286,10,0.00041539422516778565,0.00041465352348993344,2.6285860128875184e-06,0.0310516357421875,0.03105010986328125,6885273.28743867,6897327.535623984
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.25,716,10,0.0005914321865771812,0.0005913132684563769,1.6755333552300868e-06,0.0310516357421875,0.0310516357421875,12106293.362211153,12108641.67403619
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.5,1432,10,0.0008367683859060403,0.0008287380453020146,2.2564004641363753e-05,0.0310821533203125,0.0310699462890625,17123985.950227357,17279296.232979167
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,0.75,2147,10,0.0010588216583892597,0.001058827390939601,2.1553022760852273e-06,0.0310821533203125,0.0310821533203125,20277333.645628832,20277149.905208275
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,10,10,1.0,2863,10,0.0012867503489932875,0.0012832975385905984,9.466857618631878e-06,0.0310821533203125,0.03098602294921875,22250925.11871136,22309714.088997584
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.1,286,10,0.0007129496506711391,0.0007072293070469819,1.7112226582377638e-05,0.030853271484375,0.03078765869140625,8026933.219878485,8087902.5423542615
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.25,716,10,0.0010278961966442952,0.0010257825067114083,4.731602296273681e-06,0.03076171875,0.03074951171875,13931631.928646903,13960076.349879049
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.5,1432,10,0.0014621553000000007,0.001453027476510066,2.747571596608603e-05,0.030792236328125,0.03076934814453125,19593514.56924457,19710728.867245838
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,0.75,2147,10,0.001852289304026851,0.0018481563187919556,9.645035353245083e-06,0.0307159423828125,0.0307159423828125,23182687.571000457,23233965.669109546
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,20,20,1.0,2863,10,0.0022541904932885893,0.0022523262030201344,8.869811203239872e-06,0.030731201171875,0.03071746826171875,25401932.67704004,25422613.579196982
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.1,286,10,0.001300566946308725,0.0012966241610738228,1.5470975713443837e-05,0.0309295654296875,0.03092803955078125,8797257.055084808,8822922.906586178
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.25,716,10,0.0018758766083892633,0.0018761596761744952,9.231176803465138e-06,0.03094482421875,0.030938720703125,15267859.587788556,15265226.0408073
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.5,1432,10,0.0026770217697986614,0.00267305627684564,1.0029971172706833e-05,0.0309600830078125,0.030950927734375,21397181.48566326,21428655.389842585
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,0.75,2147,10,0.003453970512080542,0.003435511884228191,7.405656388379374e-05,0.0309600830078125,0.03092803955078125,24873941.32944607,24997821.34489939
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,40,40,1.0,2863,10,0.00418643723456376,0.004185294953020141,2.8674686933919463e-05,0.030914306640625,0.03044891357421875,27356142.85579879,27362477.009836093
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.1,286,10,0.0016187279083892641,0.0016166511459731474,6.797290301911283e-06,0.0300445556640625,0.03004150390625,9010921.02426333,9022354.716463422
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,M_full,51,0.25,716,10,0.0023503819909396068,0.0023453697567114113,1.4858638188897196e-05,0.03009033203125,0.0300811767578125,15536753.12827822,15569400.258652013
