marker,m_label,m_size,x_fraction,x_size,repeats,mean_runtime_s,median_runtime_s,runtime_std_s,peak_memory_gb,mean_peak_memory_gb,mean_throughput_items_per_s,median_throughput_items_per_s
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.1,286,10,0.0002596413731543622,0.00025861325503355654,2.487996716349778e-06,0.0363616943359375,0.0363433837890625,5508050.342919004,5529498.101170913
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.25,716,10,0.0003705376406040272,0.0003657084731543628,1.5479819480975244e-05,0.036468505859375,0.036468505859375,9675421.608622205,9789224.03621789
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.5,1432,10,0.0005152969382550333,0.0005095903238255027,1.7561575896458858e-05,0.036651611328125,0.03664398193359375,13908329.172707692,14050506.109421305
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,0.75,2147,10,0.0006452513147651006,0.0006450140536912748,1.7744259260473218e-06,0.03692626953125,0.03690185546875,16637041.606993843,16643048.240565013
REAL_HUMANITARIAN_GEOSPATIAL_DATA,5,5,1.0,2863,10,0.0007900564738255037,0.000786923447986576,7.494575130988633e-06,0.037261962890625,0.03724365234375,18120407.667125672,18191102.700418375
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.1,286,10,0.0004020714345637593,0.00040216617785235277,1.16340966709963e-06,0.0373077392578125,0.03729705810546875,7113217.540070397,7111488.498019827
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.25,716,10,0.0005788677711409407,0.0005774587533557065,5.0833245253069216e-06,0.0373077392578125,0.0373077392578125,12369817.58041495,12399154.030358613
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.5,1432,10,0.0008121225114093956,0.0008124288322147621,3.2525382609840914e-06,0.037322998046875,0.03731231689453125,17633062.355844714,17626197.59649357
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,0.75,2147,10,0.0010401307607382552,0.0010386620536912794,8.27103369367173e-06,0.0373382568359375,0.03733673095703125,20642803.078046698,20670829.802243263
REAL_HUMANITARIAN_GEOSPATIAL_DATA,10,10,1.0,2863,10,0.001257489486241609,0.0012558775889261737,6.3425013755276425e-06,0.0373382568359375,0.0373382568359375,22768101.93642958,22796807.79237443
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.1,286,10,0.0007083194352348983,0.0006937328741610666,2.585174569023316e-05,0.03741455078125,0.03741455078125,8084851.063158445,8245304.960717734
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.25,716,10,0.0010183351234899303,0.0010133393456375848,2.2405989122793152e-05,0.03741455078125,0.03741455078125,14068145.616538355,14131998.291062579
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.5,1432,10,0.0014251554949664417,0.0014178176728187916,1.5849929380713298e-05,0.03741455078125,0.03741455078125,20098265.932161428,20200181.379420422
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,0.75,2147,10,0.0018166499996644316,0.0018122658003355589,1.0283994257603797e-05,0.03741455078125,0.03741455078125,23637591.111635294,23694097.480087273
REAL_HUMANITARIAN_GEOSPATIAL_DATA,20,20,1.0,2863,10,0.0022177302429530156,0.002210281879194637,1.5821990489246313e-05,0.0374298095703125,0.03741607666015625,25820358.94528379,25906206.155418634
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.1,286,10,0.001281554683557046,0.0012694523221476526,2.3193176832006486e-05,0.0376129150390625,0.0376129150390625,8929255.694322605,9011775.912291436
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.25,716,10,0.0018371733083892608,0.0018345130738254985,7.349119068109141e-06,0.0376129150390625,0.0376129150390625,15589389.891514722,15611772.134523116
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.5,1432,10,0.0026217440714765097,0.0026197920167785205,8.346765560111528e-06,0.0376129150390625,0.03302154541015625,21848250.5968576,21864331.13852971
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,0.75,2147,10,0.0033743091305369205,0.003361849412751686,3.074935654138086e-05,0.03106689453125,0.030902099609375,25453012.446020924,25545464.198897302
REAL_HUMANITARIAN_GEOSPATIAL_DATA,40,40,1.0,2863,10,0.0041161149332214885,0.004096362204697991,3.7270944430546925e-05,0.030792236328125,0.0307830810546875,27824381.20770508,27956512.226237763
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.1,286,10,0.0015889996362416087,0.0015856826057046955,1.0186190575623184e-05,0.03106689453125,0.03105926513671875,9179696.684193606,9198562.361637924
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.25,716,10,0.0023001715604026945,0.0022990122332214834,4.721204703111744e-06,0.03106689453125,0.03106689453125,15875397.677614216,15883351.019544177
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.5,1432,10,0.0032881379476510063,0.003277589624161072,2.8028849867870956e-05,0.0310821533203125,0.03106842041015625,22212175.712940957,22282238.864714283
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,0.75,2147,10,0.004207152531543623,0.004204986018456382,8.387592529862096e-06,0.0310821533203125,0.0310821533203125,26026484.80712845,26039801.20948997
REAL_HUMANITARIAN_GEOSPATIAL_DATA,M_full,51,1.0,2863,10,0.005142350601342288,0.0051351958892617375,2.240037158562174e-05,0.0311126708984375,0.031097412109375,28394696.397237502,28433788.372162208
