storm_tag,track_rows,candidate_windows,era5_complete_windows,skipped_era5_or_crop,raw_x_nonfinite_values,normalized_x_nonfinite_values,input_protocol,normalization
irma,59,48,21,27,0,0,common ERA5-complete Irma/Ian windows for all learned baselines,per-sample channel z-score ERA5; lat/90 lon/180 history; vmax/150 and centered mslp; normalized future displacement targets
ian,35,24,24,0,0,0,common ERA5-complete Irma/Ian windows for all learned baselines,per-sample channel z-score ERA5; lat/90 lon/180 history; vmax/150 and centered mslp; normalized future displacement targets
