term,value,grad_norm_pred_delta,grad_norm_params,connected_to_prediction,connected_to_parameters
R_adv,0.00012023233284708112,1.8310744565042114e-07,4.086017270310549e-06,True,True
R_diff,0.004026162903755903,0.000746494741179049,0.0068611460737884045,True,True
R_mass,0.00011622402962530032,8.100927516352385e-06,8.09853954706341e-05,True,True
R_wp,0.00930623710155487,0.0005920289549976587,0.005964467767626047,True,True
R_cont,3.69417030015029e-05,2.6487674404052086e-05,0.0007311978843063116,True,True
R_nrg,0.03677358850836754,0.00019256728410255164,0.0017034061020240188,True,True
L_phys,10.61695671081543,0.4781872630119324,5.339447021484375,True,True
total,62.62993621826172,0.6006531119346619,9.723347663879395,True,True
