horizon_h,aots_estimator,real_geospatial_exposure_mae,exposure_verifying_cases,brier_score,ndcg_at_10,ranking_contributing_storms,integration_status,workshop_use
24,Ensemble probability-weighted,45893.895958,201,0.00126395,0.958333,8,AOTS2Action real-geospatial downstream evaluator identified; not yet fully coupled to STORM-World rollout tensors,"Use as a bridge/future-integration result, not as a full STORM-World geospatial intervention experiment."
48,Ensemble probability-weighted,43208.851564,168,0.00119119,0.830781,7,AOTS2Action real-geospatial downstream evaluator identified; not yet fully coupled to STORM-World rollout tensors,"Use as a bridge/future-integration result, not as a full STORM-World geospatial intervention experiment."
72,Ensemble probability-weighted,29850.227362,133,0.00128465,0.875988,4,AOTS2Action real-geospatial downstream evaluator identified; not yet fully coupled to STORM-World rollout tensors,"Use as a bridge/future-integration result, not as a full STORM-World geospatial intervention experiment."
