storm_id,model,n_windows,mean_err_6h,mean_err_12h,mean_err_24h,mean_err_48h
AL092011,LSTM,31,7671.7,7378.8,7608.8,7038.8
AL092011,Transformer,31,8666.1,8387.9,9034.3,8821.5
AL092011,GNO+DynGNN,31,7417.4,7483.1,6574.8,7846.0
AL112011,LSTM,1,6807.6,6605.6,6728.2,6259.7
AL112011,Transformer,1,7770.0,7521.4,8374.5,7994.1
AL112011,GNO+DynGNN,1,6590.3,6651.2,5766.7,7325.9
AL122011,LSTM,52,5680.5,5435.8,5691.8,5310.5
AL122011,Transformer,52,6726.2,6415.1,7140.9,7000.1
AL122011,GNO+DynGNN,52,5475.9,5586.7,4713.2,6161.6
AL202011,LSTM,2,7082.2,6872.3,6501.5,6078.4
AL202011,Transformer,2,7688.0,7523.9,8404.4,7698.6
AL202011,GNO+DynGNN,2,6877.4,6663.9,5786.8,7157.6
AL132011,LSTM,10,9511.0,9197.6,9211.3,8309.1
AL132011,Transformer,10,10396.5,10144.3,10740.0,10164.2
AL132011,GNO+DynGNN,10,9228.6,9179.0,8138.2,9224.9
AL142011,LSTM,30,6355.0,6089.5,6586.4,5891.7
AL142011,Transformer,30,7633.6,7264.7,7851.5,7786.5
AL142011,GNO+DynGNN,30,6122.9,6397.7,5350.1,6766.5
AL152011,LSTM,11,9550.5,9188.9,9615.7,8873.8
AL152011,Transformer,11,10751.4,10386.0,10794.8,10844.9
AL152011,GNO+DynGNN,11,9269.0,9403.6,8299.8,9643.1
AL162011,LSTM,47,5963.2,5682.8,6064.8,5386.9
AL162011,Transformer,47,7167.8,6793.8,7382.8,7222.8
AL162011,GNO+DynGNN,47,5745.4,5938.8,4913.9,6251.8
AL172011,LSTM,53,4725.7,4493.5,4826.4,4234.8
AL172011,Transformer,53,5881.5,5520.5,6250.9,6117.5
AL172011,GNO+DynGNN,53,4539.3,4705.0,3718.6,5187.7
AL182011,LSTM,19,8640.2,8284.5,8802.9,7903.7
AL182011,Transformer,19,9941.3,9536.1,9883.3,9866.2
AL182011,GNO+DynGNN,19,8371.4,8593.8,7466.8,8615.9
AL192011,LSTM,16,7362.1,7053.9,7084.3,6251.7
AL192011,Transformer,16,8314.2,8006.5,8641.4,8063.4
AL192011,GNO+DynGNN,16,7118.7,7098.4,6054.6,7205.1
AL012012,LSTM,8,8268.4,7941.4,7843.3,6802.1
AL012012,Transformer,8,9149.2,8860.0,9444.1,8635.2
AL012012,GNO+DynGNN,8,8007.7,7922.7,6808.8,7774.7
AL022012,LSTM,21,8368.6,8061.9,7969.7,7079.4
AL022012,Transformer,21,9217.7,8949.3,9606.6,8889.6
AL022012,GNO+DynGNN,21,8107.7,8017.3,6980.8,8045.6
AL032012,LSTM,19,6362.6,6160.6,5578.9,5232.7
AL032012,Transformer,19,6758.3,6619.8,7617.2,6737.7
AL032012,GNO+DynGNN,19,6213.7,5822.4,5114.7,6311.8
AL042012,LSTM,6,8885.2,8539.2,8592.0,7687.7
AL042012,Transformer,6,9821.9,9520.5,10082.5,9576.9
AL042012,GNO+DynGNN,6,8607.6,8561.8,7491.0,8568.4
AL052012,LSTM,27,7762.9,7516.3,8289.9,7764.8
AL052012,Transformer,27,9125.1,8795.1,9330.4,9742.6
AL052012,GNO+DynGNN,27,7510.7,7894.5,6921.5,8473.1
AL062012,LSTM,9,3503.2,3329.8,3912.7,3614.6
AL062012,Transformer,9,4783.8,4410.3,5207.4,5567.4
AL062012,GNO+DynGNN,9,3343.5,3639.8,2695.8,4514.2
AL072012,LSTM,26,7872.7,7673.9,8489.3,8022.8
AL072012,Transformer,26,9273.6,8963.8,9541.1,10007.7
