storm_id,model,n_windows,mean_err_6h,mean_err_12h,mean_err_24h,mean_err_48h
AL082019,Transformer,23,5515.0,5324.3,6432.4,6147.5
AL082019,GNO+DynGNN,23,4624.4,4556.9,3940.0,5676.7
AL092019,LSTM,22,7828.2,7475.3,7446.4,6595.7
AL092019,Transformer,22,8742.1,8425.7,8994.0,8405.7
AL092019,GNO+DynGNN,22,7572.7,7494.5,6441.5,7483.8
AL102019,LSTM,33,6513.3,6251.2,6547.3,5946.9
AL102019,Transformer,33,7609.2,7291.5,7977.7,7818.7
AL102019,GNO+DynGNN,33,6284.0,6421.4,5448.8,6840.4
AL122019,LSTM,13,6642.7,6302.3,6689.9,5709.5
AL122019,Transformer,13,7982.2,7512.5,7915.3,7638.9
AL122019,GNO+DynGNN,13,6411.4,6632.1,5416.1,6613.8
AL132019,LSTM,36,4328.8,4126.8,4289.4,4148.9
AL132019,Transformer,36,5276.6,4990.5,5850.3,5696.2
AL132019,GNO+DynGNN,36,4185.5,4219.6,3516.3,5046.0
AL142019,LSTM,13,7495.8,7229.5,6890.8,6207.2
AL142019,Transformer,13,8080.8,7906.5,8751.5,7904.5
AL142019,GNO+DynGNN,13,7273.0,7018.7,6128.9,7213.9
AL152019,LSTM,1,2420.6,2385.8,2521.4,2465.5
AL152019,Transformer,1,3477.7,3109.9,4195.6,4264.8
AL152019,GNO+DynGNN,1,2358.1,2389.8,1781.1,3585.2
AL162019,LSTM,3,9113.7,8693.3,8623.5,7293.7
AL162019,Transformer,3,10082.0,9689.2,10164.5,9096.2
AL162019,GNO+DynGNN,3,8826.0,8710.4,7548.4,8258.6
AL182019,LSTM,10,4607.8,4543.9,3694.6,4397.7
AL182019,Transformer,10,4735.0,4646.3,5963.7,5301.6
AL182019,GNO+DynGNN,10,4583.4,3997.1,3858.9,5513.7
AL192019,LSTM,11,5659.7,5522.2,4835.9,4664.2
AL192019,Transformer,11,5825.1,5807.4,6933.1,6039.6
AL192019,GNO+DynGNN,11,5588.7,5080.4,4569.5,5723.1
AL202019,LSTM,22,5677.8,5428.8,4989.4,4836.6
AL202019,Transformer,22,6345.5,6032.2,6877.8,6049.4
AL202019,GNO+DynGNN,22,5526.8,5259.6,4575.4,5874.8
AL012020,LSTM,6,7959.2,7607.4,7214.1,6317.3
AL012020,Transformer,6,8695.9,8383.1,8996.7,8107.9
AL012020,GNO+DynGNN,6,7708.6,7475.0,6369.1,7304.8
AL032020,LSTM,33,9384.3,9055.3,9107.6,8381.8
AL032020,Transformer,33,10360.6,10040.9,10600.4,10173.8
AL032020,GNO+DynGNN,33,9113.3,9093.4,8049.1,9304.9
AL052020,LSTM,10,6294.1,6083.1,5118.5,5372.1
AL052020,Transformer,10,6587.5,6353.0,7382.9,6187.1
AL052020,GNO+DynGNN,10,6152.6,5614.7,5092.4,6457.1
AL062020,LSTM,15,8350.8,8045.3,7834.7,7197.6
AL062020,Transformer,15,9135.9,8855.7,9578.2,8981.0
AL062020,GNO+DynGNN,15,8094.7,7928.5,6906.9,8239.9
AL072020,LSTM,11,4398.2,4136.1,5114.4,4494.6
AL072020,Transformer,11,5983.4,5511.5,5951.5,6482.2
AL072020,GNO+DynGNN,11,4182.6,4721.6,3598.1,5168.2
AL082020,LSTM,6,9698.2,9442.6,9735.9,9212.3
AL082020,Transformer,6,10663.3,10465.2,11173.6,11137.4
AL082020,GNO+DynGNN,6,9413.4,9491.4,8591.0,10055.4
AL092020,LSTM,24,7719.5,7439.8,7807.8,7181.1
AL092020,Transformer,24,8859.2,8548.6,9173.0,9065.3
AL092020,GNO+DynGNN,24,7464.3,7633.8,6648.8,8032.0
AL102020,LSTM,2,1987.8,1886.0,1916.7,1964.6
AL102020,Transformer,2,3181.9,2624.8,3623.6,3594.8
AL102020,GNO+DynGNN,2,1923.8,1893.3,1334.0,3169.8
AL112020,LSTM,12,4762.7,4556.6,5355.5,4899.7
AL112020,Transformer,12,6221.8,5821.4,6451.3,6869.9
AL112020,GNO+DynGNN,12,4558.6,5012.8,3997.8,5744.5
AL132020,LSTM,30,7857.6,7618.9,8156.9,7671.9
AL132020,Transformer,30,9049.1,8773.0,9433.6,9593.3
AL132020,GNO+DynGNN,30,7602.6,7858.8,6943.5,8474.2
AL142020,LSTM,9,8884.5,8570.7,8895.6,8309.3
AL142020,Transformer,9,10032.8,9694.5,10257.5,10225.3
AL142020,GNO+DynGNN,9,8617.3,8745.2,7716.3,9166.2
AL152020,LSTM,15,7245.2,6914.3,6520.5,5834.0
AL152020,Transformer,15,7937.3,7628.1,8342.3,7567.5
AL152020,GNO+DynGNN,15,7018.3,6742.1,5707.0,6886.1
AL162020,LSTM,1,8600.1,8380.0,9088.2,8492.5
AL162020,Transformer,1,9916.6,9641.5,10142.2,10474.3
AL162020,GNO+DynGNN,1,8342.7,8715.8,7723.3,9183.3
AL172020,LSTM,76,5155.2,5012.7,4540.5,4442.5
AL172020,Transformer,76,5582.6,5442.4,6514.3,5889.5
AL172020,GNO+DynGNN,76,5073.1,4717.7,4190.6,5499.6
AL182020,LSTM,20,3616.5,3495.0,3852.7,3554.0
AL182020,Transformer,20,4743.5,4423.6,5356.6,5408.2
AL182020,GNO+DynGNN,20,3482.3,3657.3,2837.4,4584.9
AL192020,LSTM,16,8978.4,8676.9,8824.1,8082.0
AL192020,Transformer,16,9912.3,9670.0,10318.7,9960.3
AL192020,GNO+DynGNN,16,8698.1,8708.5,7748.0,8932.1
AL202020,LSTM,37,5542.7,5306.9,5734.3,5310.4
AL202020,Transformer,37,6675.0,6368.7,7088.9,7124.9
AL202020,GNO+DynGNN,37,5335.4,5533.8,4649.0,6140.7
AL212020,LSTM,12,3765.1,3608.8,3797.7,3392.5
AL212020,Transformer,12,4773.7,4462.9,5363.8,5272.0
AL212020,GNO+DynGNN,12,3637.5,3690.2,2835.2,4394.3
AL222020,LSTM,22,9724.0,9398.2,9512.5,8742.9
AL222020,Transformer,22,10679.2,10402.4,10997.5,10640.2
AL222020,GNO+DynGNN,22,9438.3,9422.7,8390.6,9641.0
AL232020,LSTM,5,3190.0,3010.9,3782.6,3372.9
AL232020,Transformer,5,4657.8,4225.2,4916.3,5337.3
AL232020,GNO+DynGNN,5,3017.0,3466.1,2432.4,4262.3
AL242020,LSTM,8,4573.3,4519.0,3162.4,3878.2
AL242020,Transformer,8,4198.6,4245.3,5581.6,4557.3
AL242020,GNO+DynGNN,8,4683.1,3746.5,3751.5,4992.1
AL252020,LSTM,9,9028.9,8673.7,9010.3,8155.4
AL252020,Transformer,9,10201.0,9829.9,10251.5,10101.2
AL252020,GNO+DynGNN,9,8756.6,8875.1,7754.3,8935.6
AL262020,LSTM,19,9169.9,8868.8,9238.3,8549.4
AL262020,Transformer,19,10256.0,9983.2,10543.8,10426.7
AL262020,GNO+DynGNN,19,8882.8,9026.2,8097.6,9288.7
AL272020,LSTM,29,6334.8,6078.1,6069.6,5572.1
AL272020,Transformer,29,7186.0,6928.9,7716.5,7277.1
AL272020,GNO+DynGNN,29,6131.3,6067.0,5185.1,6528.2
AL282020,LSTM,13,9017.5,8706.9,9112.3,8171.9
AL282020,Transformer,13,10194.9,9866.1,10392.7,10059.4
AL282020,GNO+DynGNN,13,8740.9,8913.2,7898.2,9000.8
AL292020,LSTM,46,8613.2,8250.9,8632.8,7671.1
AL292020,Transformer,46,9837.2,9439.0,9801.7,9597.3
AL292020,GNO+DynGNN,46,8346.8,8500.9,7354.1,8433.8
AL302020,LSTM,21,4190.6,4031.8,3283.0,3285.7
AL302020,Transformer,21,4573.3,4347.2,5402.9,4531.0
AL302020,GNO+DynGNN,21,4141.8,3644.7,3162.7,4418.9
AL312020,LSTM,14,7990.6,7658.0,8398.9,7647.9
AL312020,Transformer,14,9403.0,8982.4,9279.0,9605.0
AL312020,GNO+DynGNN,14,7733.2,8083.0,6976.9,8258.6
AL012021,LSTM,5,6692.2,6536.0,6431.5,5839.9
AL012021,Transformer,5,7371.9,7271.2,8208.8,7593.3
AL012021,GNO+DynGNN,5,6505.5,6424.9,5599.4,6865.6
AL032021,LSTM,11,9010.0,8614.6,8261.6,7057.4
AL032021,Transformer,11,9842.2,9483.2,9956.5,8817.2
AL032021,GNO+DynGNN,11,8737.1,8530.9,7297.5,8082.4
AL052021,LSTM,31,7864.0,7596.8,7963.7,7308.8
AL052021,Transformer,31,9010.4,8703.9,9337.3,9191.4
AL052021,GNO+DynGNN,31,7608.0,7794.3,6808.0,8170.6
AL062021,LSTM,33,8224.4,7956.0,8192.1,7538.9
AL062021,Transformer,33,9296.5,8997.3,9648.4,9413.8
AL062021,GNO+DynGNN,33,7971.0,8075.9,7072.7,8466.5
AL072021,LSTM,26,7696.9,7469.0,8164.7,7690.4
AL072021,Transformer,26,8998.9,8696.7,9306.7,9666.8
AL072021,GNO+DynGNN,26,7449.9,7791.4,6843.5,8456.9
AL082021,LSTM,30,7392.9,7158.2,7168.4,6774.9
AL082021,Transformer,30,8173.4,7984.4,8866.5,8569.4
AL082021,GNO+DynGNN,30,7161.8,7089.7,6266.3,7724.4
AL092021,LSTM,28,8806.9,8482.3,8330.5,7652.6
AL092021,Transformer,28,9601.7,9331.2,9995.6,9379.1
AL092021,GNO+DynGNN,28,8537.3,8398.5,7439.3,8573.0
AL102021,LSTM,9,5148.4,4871.2,5186.7,4481.8
AL102021,Transformer,9,6412.6,5970.9,6568.9,6379.8
AL102021,GNO+DynGNN,9,4947.7,5137.1,4031.2,5469.1
AL112021,LSTM,1,5583.4,5295.5,4624.4,5543.7
AL112021,Transformer,1,6069.3,5723.2,6802.8,6688.0
AL112021,GNO+DynGNN,1,5444.0,4958.2,4435.2,6672.0
AL122021,LSTM,34,5189.7,4971.6,5401.1,5065.6
AL122021,Transformer,34,6293.2,6011.4,6789.3,6856.0
AL122021,GNO+DynGNN,34,4995.7,5190.2,4356.0,5885.1
AL142021,LSTM,9,9800.2,9433.1,9423.9,8633.8
AL142021,Transformer,9,10691.9,10399.7,10952.3,10529.7
AL142021,GNO+DynGNN,9,9507.8,9414.7,8338.3,9520.7
AL152021,LSTM,31,6391.3,6176.9,5436.8,5104.5
AL152021,Transformer,31,6675.0,6536.9,7548.4,6582.5
AL152021,GNO+DynGNN,31,6260.0,5763.0,5072.9,6200.4
AL162021,LSTM,4,6209.8,5965.7,6532.4,5873.4
AL162021,Transformer,4,7483.1,7142.8,7758.6,7838.1
AL162021,GNO+DynGNN,4,5982.8,6279.0,5257.3,6708.4
AL172021,LSTM,10,3808.9,3678.4,3915.8,3622.5
AL172021,Transformer,10,4898.2,4574.8,5521.7,5421.6
AL172021,GNO+DynGNN,10,3667.6,3807.2,2998.6,4700.3
AL182021,LSTM,47,5687.9,5420.2,5633.3,5186.7
AL182021,Transformer,47,6665.5,6377.4,7051.1,6859.0
AL182021,GNO+DynGNN,47,5496.3,5559.4,4711.4,5953.5
AL202021,LSTM,10,3024.8,2806.0,3561.0,2927.7
AL202021,Transformer,10,4525.4,4045.0,4662.5,4880.6
AL202021,GNO+DynGNN,10,2841.7,3296.0,2194.9,3824.9
AL212021,LSTM,42,5958.2,5750.9,5143.5,4835.5
AL212021,Transformer,42,6331.7,6180.0,7166.2,6339.3
AL212021,GNO+DynGNN,42,5828.1,5402.6,4695.3,5912.8
AL012022,LSTM,5,8491.4,8029.8,7810.9,6373.0
AL012022,Transformer,5,9533.8,9046.6,9333.9,8198.2
AL012022,GNO+DynGNN,5,8225.3,8094.2,6717.8,7365.5
AL022022,LSTM,43,9722.3,9480.7,10301.0,9916.1
AL022022,Transformer,43,11064.5,10779.5,11296.4,11883.4
AL022022,GNO+DynGNN,43,9453.8,9829.1,8926.7,10606.3
AL052022,LSTM,50,5407.0,5338.4,4439.6,4713.4
AL052022,Transformer,50,5346.0,5387.5,6677.9,5806.1
AL052022,GNO+DynGNN,50,5400.9,4761.3,4549.1,5793.6
AL062022,LSTM,40,6650.9,6383.2,6200.1,5720.0
AL062022,Transformer,40,7382.3,7134.7,7921.0,7352.8
AL062022,GNO+DynGNN,40,6458.0,6293.1,5451.5,6675.8
AL072022,LSTM,49,6972.1,6710.2,6881.5,6453.8
AL072022,Transformer,49,7902.6,7643.2,8350.3,8152.1
AL072022,GNO+DynGNN,49,6752.9,6786.4,5944.5,7274.6
AL082022,LSTM,22,5138.7,5045.1,4318.8,4463.2
AL082022,Transformer,22,5294.7,5257.7,6516.7,5852.7
AL082022,GNO+DynGNN,22,5094.9,4567.3,4190.0,5580.7
AL092022,LSTM,28,8320.2,7983.0,8364.0,7574.8
AL092022,Transformer,28,9488.8,9139.4,9595.4,9475.4
AL092022,GNO+DynGNN,28,8052.4,8204.3,7156.6,8323.0
AL132022,LSTM,9,7868.3,7614.7,8523.8,7928.0
AL132022,Transformer,9,9335.0,8967.2,9406.2,9910.3
AL132022,GNO+DynGNN,9,7625.3,8072.7,7067.9,8590.3
AL142022,LSTM,6,9686.3,9286.7,9575.6,8657.7
AL142022,Transformer,6,10825.1,10443.9,10781.5,10631.7
AL142022,GNO+DynGNN,6,9404.2,9456.0,8266.8,9429.1
AL152022,LSTM,12,8767.7,8491.2,9176.8,8552.9
AL152022,Transformer,12,10082.2,9753.0,10249.9,10527.8
AL152022,GNO+DynGNN,12,8502.9,8815.2,7824.6,9271.7
AL162022,LSTM,9,6191.0,5890.8,5341.8,5508.3
AL162022,Transformer,9,6781.1,6483.9,7338.8,6797.0
AL162022,GNO+DynGNN,9,6012.1,5649.9,4854.7,6600.5
AL172022,LSTM,14,7857.6,7609.9,7938.6,7511.5
AL172022,Transformer,14,8857.9,8623.1,9378.4,9400.4
AL172022,GNO+DynGNN,14,7604.7,7705.1,6829.6,8367.3
AL012023,LSTM,3,7262.7,6907.2,6487.7,6695.0
AL012023,Transformer,3,7862.4,7548.9,8462.7,8134.8
AL012023,GNO+DynGNN,3,7039.0,6677.0,5922.6,7748.2
AL022023,LSTM,3,8930.2,8594.6,8723.4,7731.8
AL022023,Transformer,3,9927.1,9616.0,10131.2,9684.7
AL022023,GNO+DynGNN,3,8662.1,8656.6,7530.0,8596.5
AL032023,LSTM,11,5304.9,5063.6,5931.6,5413.9
AL032023,Transformer,11,6782.8,6380.2,6897.6,7405.0
AL032023,GNO+DynGNN,11,5081.2,5559.5,4501.9,6106.4
AL042023,LSTM,5,4813.0,4594.9,5400.9,4994.9
AL042023,Transformer,5,6290.7,5877.4,6514.8,6949.6
AL042023,GNO+DynGNN,5,4599.7,5069.3,4058.4,5867.4
AL052023,LSTM,46,5621.1,5472.8,5034.6,4923.7
AL052023,Transformer,46,6091.8,5952.6,7057.0,6455.3
AL052023,GNO+DynGNN,46,5496.4,5178.5,4551.6,6031.3
AL062023,LSTM,55,5993.1,5689.6,5959.9,5121.2
AL062023,Transformer,55,7199.9,6780.5,7308.9,7028.4
AL062023,GNO+DynGNN,55,5780.7,5917.1,4772.5,6063.8
AL072023,LSTM,16,4466.1,4310.8,4582.1,4247.4
AL072023,Transformer,16,5550.4,5244.1,6140.9,6072.6
AL072023,GNO+DynGNN,16,4302.0,4451.1,3600.9,5285.3
AL082023,LSTM,74,6561.5,6321.9,6030.2,5644.6
AL082023,Transformer,74,7162.8,6955.0,7765.8,7151.9
AL082023,GNO+DynGNN,74,6416.3,6170.3,5450.3,6580.1
AL102023,LSTM,42,7725.9,7408.1,7260.2,6601.3
AL102023,Transformer,42,8512.1,8236.5,8931.0,8348.0
AL102023,GNO+DynGNN,42,7488.3,7333.9,6379.6,7541.4
AL112023,LSTM,4,5673.2,5434.4,5409.1,5082.0
AL112023,Transformer,4,6577.9,6270.3,7107.8,6808.8
AL112023,GNO+DynGNN,4,5488.2,5430.9,4510.9,6172.7
AL122023,LSTM,55,4053.2,3866.4,3976.4,3424.0
AL122023,Transformer,55,5082.2,4725.6,5519.1,5245.2
AL122023,GNO+DynGNN,55,3923.5,3949.0,3032.4,4439.0
AL132023,LSTM,43,6514.0,6254.1,6505.6,6037.5
AL132023,Transformer,43,7489.7,7229.6,7943.9,7793.2
AL132023,GNO+DynGNN,43,6292.8,6371.5,5521.6,6827.1
AL142023,LSTM,34,4684.1,4529.2,4341.3,4189.1
AL142023,Transformer,34,5353.7,5160.2,6192.8,5808.5
AL142023,GNO+DynGNN,34,4570.7,4392.9,3740.8,5249.1
AL152023,LSTM,34,5818.0,5716.9,5286.1,5532.0
AL152023,Transformer,34,6159.3,6107.4,7280.4,6770.8
AL152023,GNO+DynGNN,34,5728.7,5406.3,5040.4,6563.9
AL162023,LSTM,3,8097.0,7850.5,7827.3,7391.5
AL162023,Transformer,3,8877.6,8692.9,9531.9,9162.6
AL162023,GNO+DynGNN,3,7844.5,7777.7,6934.8,8336.6
AL172023,LSTM,42,5601.0,5310.3,5836.1,5080.4
AL172023,Transformer,42,6911.9,6497.6,7025.4,7038.3
AL172023,GNO+DynGNN,42,5381.2,5650.1,4540.7,5912.0
AL182023,LSTM,4,4952.0,4730.8,5187.1,4896.9
AL182023,Transformer,4,6146.5,5799.7,6579.6,6783.0
AL182023,GNO+DynGNN,4,4754.0,4977.5,4056.1,5845.4
AL192023,LSTM,13,4008.6,3771.5,4382.2,3748.8
AL192023,Transformer,13,5415.0,4964.8,5573.7,5706.1
AL192023,GNO+DynGNN,13,3820.5,4173.1,3080.9,4653.5
AL202023,LSTM,42,6321.3,5991.5,6126.3,5330.0
AL202023,Transformer,42,7370.4,7000.0,7568.9,7193.8
AL202023,GNO+DynGNN,42,6098.5,6129.2,5059.7,6203.5
AL012024,LSTM,1,9562.5,9286.4,9719.1,9251.9
AL012024,Transformer,1,10693.6,10413.6,10976.6,11200.2
AL012024,GNO+DynGNN,1,9293.0,9439.9,8448.9,10086.8
AL022024,LSTM,45,8076.2,7797.7,8320.6,7735.1
AL022024,Transformer,45,9257.6,8956.4,9518.4,9626.4
AL022024,GNO+DynGNN,45,7810.7,8055.4,7109.7,8436.3
AL042024,LSTM,23,8531.9,8223.5,8212.0,7464.7
AL042024,Transformer,23,9419.3,9146.8,9821.3,9252.7
AL042024,GNO+DynGNN,23,8265.8,8209.0,7217.0,8411.0
AL052024,LSTM,29,6837.3,6549.2,6714.0,6086.1
AL052024,Transformer,29,7864.5,7548.1,8204.8,7861.0
AL052024,GNO+DynGNN,29,6607.7,6666.8,5698.4,6988.9
AL062024,LSTM,11,9673.3,9276.2,9296.0,8537.6
AL062024,Transformer,11,10630.9,10296.6,10780.4,10389.4
AL062024,GNO+DynGNN,11,9376.7,9307.7,8221.7,9396.1
AL072024,LSTM,12,4190.0,3994.0,4363.6,3798.9
AL072024,Transformer,12,5358.3,5004.7,5769.1,5726.8
AL072024,GNO+DynGNN,12,4025.0,4211.7,3234.7,4745.7
AL092024,LSTM,13,8826.8,8471.3,8646.6,8006.0
AL092024,Transformer,13,9872.8,9535.8,10055.7,9835.2
AL092024,GNO+DynGNN,13,8550.3,8583.5,7564.9,8829.8
AL102024,LSTM,23,5713.3,5556.9,4804.6,4947.6
AL102024,Transformer,23,5900.6,5822.3,6957.5,6138.6
AL102024,GNO+DynGNN,23,5633.5,5099.1,4677.4,6017.7
AL112024,LSTM,3,4810.5,4586.4,4956.0,4253.9
AL112024,Transformer,3,5988.7,5633.0,6372.9,6156.1
AL112024,GNO+DynGNN,3,4620.4,4818.3,3840.8,5207.8
AL122024,LSTM,30,4980.0,4762.0,4728.3,4530.9
AL122024,Transformer,30,5825.0,5560.1,6378.4,5968.4
AL122024,GNO+DynGNN,30,4827.0,4778.0,4044.4,5436.6
AL132024,LSTM,34,3801.1,3537.8,4125.0,3444.1
AL132024,Transformer,34,5159.5,4712.5,5310.0,5365.2
AL132024,GNO+DynGNN,34,3611.5,3930.3,2848.1,4311.0
AL142024,LSTM,22,9247.5,8810.3,8965.7,7784.7
AL142024,Transformer,22,10294.2,9914.4,10183.6,9649.0
AL142024,GNO+DynGNN,22,8951.4,8941.5,7802.7,8436.0
AL162024,LSTM,5,7555.6,7229.9,7701.7,6860.9
AL162024,Transformer,5,8756.1,8412.0,8876.9,8814.9
AL162024,GNO+DynGNN,5,7296.4,7493.0,6420.9,7586.0
AL172024,LSTM,3,5177.7,4970.9,3869.2,3827.4
AL172024,Transformer,3,5266.7,5135.3,6086.4,4870.7
AL172024,GNO+DynGNN,3,5134.8,4452.0,3849.7,4936.8
AL182024,LSTM,17,8555.0,8263.9,8742.9,8181.8
AL182024,Transformer,17,9706.6,9412.6,9987.0,10101.9
AL182024,GNO+DynGNN,17,8280.9,8471.4,7538.8,8912.4
AL192024,LSTM,8,8779.3,8430.6,8992.6,8116.6
AL192024,Transformer,8,10126.2,9708.0,10024.1,10090.5
AL192024,GNO+DynGNN,8,8524.6,8767.2,7600.2,8859.3
