variant,changed_component,evaluation_protocol,track_error,track_error_units,intensity_error,intensity_error_units,exposure_error,exposure_error_units,ranking_correlation,ranking_units,calibration,calibration_units,physics_residual,physics_residual_units,computational_cost_s,source_files,status,notes
STORM-CARE full,none,"Composite row: foundation validation, graph held-out synthetic test, physics validation.",534.4378,mean_km_6_48h_foundation_val,22.296,future_vmax_mae_kt,533.6304,exposed_children_peak_MAPE_percent,0.275,spearman_rho_recovery_priority,0.4164,mean_abs_p90_coverage_error_6_48h,6.1313,weighted_validation_physics_loss,38.38,checkpoints/foundation/foundation_best.pt; regenerated in scripts/run_ablations.py; metrics/physics/physics_full_vs_ablation.csv; model/disaster_graph/*; scripts/eval_humanitarian.py; regenerated in scripts/run_ablations.py,rerun_or_cached_regenerated,Full row combines the valid evaluator for each metric; see units and protocol columns.
no_physics,Module 2 physics loss weights,Matched physics validation split from metrics/physics/physics_full_vs_ablation.csv.,0.0193,module2_validation_track_rmse_normalized,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,0.0,weighted_validation_physics_loss,50.84,metrics/physics/physics_full_vs_ablation.csv; metrics/ablations/no_physics_runtime.json,cached_metrics_plus_rerun_runtime,Physics metrics are from the matched full-vs-no-physics rerun. Computational cost measured by a fresh no-physics runtime rerun.
no_ssl_random_init,Module 1 self-supervised pretraining,Same foundation validation windows as pretrained checkpoint.,545.6074,mean_km_6_48h_foundation_val,40.2093,future_vmax_mae_kt,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,0.5145,mean_abs_p90_coverage_error_6_48h,not_applicable_to_changed_component,not_applicable,9.76,checkpoints/foundation/foundation_best.pt; regenerated in scripts/run_ablations.py,rerun,Same validation split for pretrained and random foundation models; validation windows=238; group overlap=0.
static_graph_no_propagation,Module 3 storm propagation edges,Same graph train/test seeds as graph_full_multitask.,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,593.6911,exposed_children_peak_MAPE_percent,0.378,spearman_rho_recovery_priority,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,25.39,model/disaster_graph/*; scripts/eval_humanitarian.py; regenerated in scripts/run_ablations.py,rerun,Same train seed 123 and held-out test seed 999 across graph ablations.
no_transport_edges,Module 3 transport edges,Same graph train/test seeds as graph_full_multitask.,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,526.926,exposed_children_peak_MAPE_percent,0.1375,spearman_rho_recovery_priority,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,25.46,model/disaster_graph/*; scripts/eval_humanitarian.py; regenerated in scripts/run_ablations.py,rerun,Same train seed 123 and held-out test seed 999 across graph ablations.
no_world_model,Module 4 latent dynamics,Counterfactual causal rollout audit; not a track or humanitarian-head evaluator.,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,not_applicable_to_changed_component,not_applicable,0.31,metrics/counterfactual/counterfactual_outcomes.csv; checkpoints/world_model/worldmodel_best.pt; model/counterfactual/*,rerun_runtime_only,"World-model ablation is a causal rollout test, not a forecast/graph/physics metric; source outcomes cover 24 test sequences. Frozen-rollout runtime measured on 24 held-out test sequences."
