recon_mse,contrast_align,track_err_km_6h,crps_6h,cone_p50_6h,cone_p90_6h,n_valid_6h,track_err_km_12h,crps_12h,cone_p50_12h,cone_p90_12h,n_valid_12h,track_err_km_24h,crps_24h,cone_p50_24h,cone_p90_24h,n_valid_24h,track_err_km_48h,crps_48h,cone_p50_48h,cone_p90_48h,n_valid_48h,track_err_km_72h,crps_72h,cone_p50_72h,cone_p90_72h,n_valid_72h,track_err_km_120h,crps_120h,cone_p50_120h,cone_p90_120h,n_valid_120h,linear_probe_acc,epoch,selection_metric,selection_score,train_loss,train_L_future,train_L_mask,train_L_contrast,train_L_horizon,selected_checkpoint
0.2916308601697286,0.9679182171821594,153.57155935605473,0.717106286018554,0.5630252100840336,0.7857142857142857,238,299.7910390787984,1.4870228021849925,0.22943722943722944,0.5411255411255411,231,597.8519821555926,3.2645149086642764,0.0593607305936073,0.1872146118721461,219,1129.553935214167,6.5286516181290555,0.020618556701030927,0.04639175257731959,194,1584.9802374530093,9.349183410815842,0.005917159763313609,0.011834319526627219,169,2346.131537608487,14.039698548885088,0.008403361344537815,0.008403361344537815,119,0.9166666666666666,1,mean_track_err_km,1018.6467151443516,32.60823877802435,0.19891393156546466,0.3167802320336396,1.433916133529735,31.37558650970459,False
0.20370880166689556,0.9839087804158528,143.40442231016974,0.6647547556275699,0.6722689075630253,0.8319327731092437,238,287.9981450082502,1.3674049629459428,0.4069264069264069,0.7012987012987013,231,582.0694092778691,3.0727935485787725,0.0958904109589041,0.2968036529680365,219,1125.2585714755237,6.305496785444062,0.030927835051546393,0.10824742268041238,194,1566.3818994451683,8.9497738817332,0.011834319526627219,0.07100591715976332,169,2326.3788190093787,13.450705675646386,0.008403361344537815,0.04201680672268908,119,0.875,2,mean_track_err_km,1005.24854442106,23.59775687163731,-0.06602007962701807,0.24325646656864094,0.7630416261699965,23.038999791415232,False
0.12703935553630194,0.9843668540318807,141.8446392444794,0.6381238831021683,0.6092436974789915,0.819327731092437,238,278.44642343867906,1.2354418386187411,0.5627705627705628,0.8311688311688312,231,549.6309484046753,2.4569947079280454,0.589041095890411,0.817351598173516,219,1066.1199165524245,4.919941686131134,0.5051546391752577,0.8041237113402062,194,1479.2559202491336,7.010393666748648,0.3727810650887574,0.7100591715976331,169,2230.659814856561,11.060479585300971,0.21008403361344538,0.42857142857142855,119,0.8958333333333334,3,mean_track_err_km,957.6596104576588,3.6870235744512305,-0.6321719986087871,0.138306421913066,0.5368784271742938,3.912449944694087,False
0.12441387375195821,0.9855352799097697,141.3291586463516,0.6297573946756102,0.7352941176470589,0.8865546218487395,238,274.16667610375487,1.2188258431055008,0.6623376623376623,0.8701298701298701,231,544.3149939567463,2.41821383414607,0.593607305936073,0.8493150684931506,219,1034.0990557877294,4.736177964239737,0.4381443298969072,0.7835051546391752,194,1452.7103765285253,6.8628163115476895,0.3668639053254438,0.6923076923076923,169,2177.95684965951,10.795251366710202,0.18487394957983194,0.42857142857142855,119,0.8541666666666666,4,mean_track_err_km,937.429518447103,0.9210635929737451,-1.2625926170708999,0.11191187897380793,0.1977901709670166,1.972849243092087,False
0.1035283068815867,0.9849647283554077,139.12244914485663,0.6175476590087903,0.6932773109243697,0.8781512605042017,238,272.806683774777,1.201195771223822,0.6536796536796536,0.8831168831168831,231,543.4795304363779,2.3884971159394723,0.5662100456621004,0.867579908675799,219,1016.6469835480633,4.588786189633535,0.4484536082474227,0.8041237113402062,194,1434.1096498719405,6.708799999777249,0.3609467455621302,0.7041420118343196,169,2140.577701712329,10.552203606081715,0.21008403361344538,0.4369747899159664,119,0.875,5,mean_track_err_km,924.4571664147242,0.31798263315884573,-1.8100631057091479,0.10017396804859054,0.17292100479299166,1.9414112860301755,False
0.07887508943676949,0.98505144516627,138.45043445148977,0.6111583885905206,0.726890756302521,0.8991596638655462,238,271.5677812269145,1.1928740038541799,0.6536796536796536,0.8917748917748918,231,542.3658045501155,2.38278001830758,0.5525114155251142,0.863013698630137,219,1008.3718023471307,4.5311414029789105,0.44329896907216493,0.8041237113402062,194,1420.977268736074,6.616852942165695,0.3668639053254438,0.7100591715976331,169,2113.893873358375,10.38881884007966,0.21008403361344538,0.4369747899159664,119,0.875,6,mean_track_err_km,915.9378274450168,0.0004914031838471035,-2.0582311130919546,0.08060558990768667,0.14506596256539506,1.905583955206961,False
0.05916599134604136,0.9854371706644695,135.51575027349406,0.5979703575235273,0.6974789915966386,0.8697478991596639,238,269.99991675151466,1.1771008532948601,0.6536796536796536,0.8874458874458875,231,541.5638483083754,2.3620060403917504,0.547945205479452,0.8721461187214612,219,1000.0073901517128,4.465622504142095,0.4020618556701031,0.7989690721649485,194,1410.3545960192107,6.533794280619153,0.31952662721893493,0.7100591715976331,169,2099.4686726854447,10.291088227896731,0.19327731092436976,0.42857142857142855,119,0.875,7,mean_track_err_km,909.4850290316253,-0.1891142062421115,-2.200839380048356,0.05901697169075597,0.1303943557102444,1.8875110171875864,False
0.05152361169457435,0.9861192464828491,133.5208688730325,0.5904714373286823,0.6470588235294118,0.8445378151260504,238,268.7829477272974,1.169131499685008,0.6277056277056277,0.8831168831168831,231,542.2578669775816,2.358432920356287,0.502283105022831,0.8584474885844748,219,997.2399108881232,4.427627589090729,0.4072164948453608,0.8041237113402062,194,1404.7895124831402,6.484555995255507,0.3254437869822485,0.7041420118343196,169,2083.6954077576065,10.216929056764116,0.18487394957983194,0.4369747899159664,119,0.8958333333333334,8,mean_track_err_km,905.0477524511302,-0.3131775766048791,-2.2889114505839796,0.04610273857021107,0.11831021700427814,1.8704760164584753,False
0.04938068414727847,0.9849175612131754,130.769709438103,0.5807959115778678,0.680672268907563,0.8781512605042017,238,267.0086078925982,1.1580064559440748,0.6190476190476191,0.8874458874458875,231,542.31334990451,2.3513621934421454,0.4931506849315068,0.8584474885844748,219,994.5716961667907,4.412653748989578,0.3917525773195876,0.7989690721649485,194,1400.5688647069112,6.444704870363284,0.3136094674556213,0.7100591715976331,169,2076.9444561676883,10.15562287232246,0.19327731092436976,0.453781512605042,119,0.8958333333333334,9,mean_track_err_km,902.0294473794335,-0.4334340050535382,-2.3733108943363406,0.04048578353282416,0.10688133209170599,1.8459504325434846,False
0.04583557397127151,0.9818273663520813,127.79042180158118,0.5657407614132248,0.6512605042016807,0.8613445378151261,238,264.41041558654507,1.147358866877841,0.6017316017316018,0.8831168831168831,231,540.6544743557022,2.3414564224771093,0.4885844748858447,0.8538812785388128,219,990.7144479118394,4.375889088358854,0.4175257731958763,0.8144329896907216,194,1392.876093720825,6.385625537856536,0.31952662721893493,0.6923076923076923,169,2059.917857742957,10.058341818173574,0.18487394957983194,0.46218487394957986,119,0.8958333333333334,10,mean_track_err_km,896.0606185199082,-0.5155846532785667,-2.442734767805855,0.036452592192393427,0.10129125915615454,1.840051902914947,False
